sta_re1,sta_re2,sta_re3,sta_re4,sta_re5,sta_re6,sta_re7,sta_re8,sta_re9,sta_re10,sta_re11,sta_re12,sta_re13,sta_re14,sta_re15,sta_re16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
signal1-model1INFO-INFY-,9.04,-6.62,-6.62,30.48,7.81,3,2,5.88,1.50,351,0.38,7.83,15.28,1.54,82.10
signal1-model12330-TSM-,0.28,-13.77,-9.46,6.19,0.00,3,3,3.86,0.09,470,0.25,0.41,4.47,0.07,62.07
signal1-model1ICICIBC-IBN-,9.51,-3.88,-0.67,28.83,8.73,2,2,5.46,1.69,266,0.35,8.17,15.87,1.74,84.51
signal1-model1TTMT-TTM-,11.84,-12.02,-3.50,31.16,12.29,2,3,7.00,1.63,290,0.45,10.50,21.50,1.69,84.51
signal1-model1HDFCB-HDB-,6.61,-4.82,-1.31,18.20,6.01,3,2,5.97,1.10,251,0.38,5.29,12.09,1.11,70.24
signal1-model12303-UMC-,3.80,-11.04,-5.29,24.29,3.61,3,2,6.47,0.61,470,0.41,2.28,10.23,0.59,58.39
signal1-model2INFO-INFY-,10.00,-6.52,-6.52,25.59,9.11,3,1,5.62,1.73,439,0.36,10.35,15.80,1.78,93.28
signal1-model22330-TSM-,1.45,-6.59,-5.91,7.69,1.35,3,1,3.16,0.47,514,0.20,1.61,5.18,0.46,73.68
signal1-model2ICICIBC-IBN-,9.45,-3.63,-2.18,28.56,8.90,2,1,5.73,1.61,168,0.37,8.05,18.08,1.65,89.32
signal1-model2TTMT-TTM-,14.45,-9.01,-6.07,39.05,15.01,2,1,7.47,1.84,123,0.48,13.30,25.36,1.93,93.69
signal1-model2HDFCB-HDB-,11.49,-4.77,-2.81,31.06,10.14,2,1,8.76,1.28,194,0.56,9.08,19.87,1.31,87.64
signal1-model22303-UMC-,8.25,-5.30,0.04,24.92,8.05,3,1,6.56,1.24,171,0.42,5.77,16.47,1.26,77.78
signal2-model1INFO-INFY-,7.41,-7.53,-7.53,24.02,6.13,3,1,5.42,1.35,361,0.35,7.19,13.14,1.37,79.89
signal2-model12330-TSM-,-0.47,-14.73,-7.51,4.67,-0.62,3,3,3.17,-0.13,506,0.20,-0.79,2.92,-0.15,58.18
signal2-model1ICICIBC-IBN-,8.98,-7.32,-6.69,24.21,8.41,2,2,5.55,1.58,456,0.36,8.05,16.33,1.62,82.58
signal2-model1TTMT-TTM-,9.73,-9.32,-7.78,31.34,10.23,2,2,7.17,1.33,330,0.46,8.43,20.58,1.36,80.13
signal2-model1HDFCB-HDB-,6.42,-4.82,-1.31,18.20,5.68,3,3,5.41,1.18,251,0.35,5.18,10.34,1.19,75.53
signal2-model12303-UMC-,0.77,-10.08,-6.42,12.77,0.78,3,2,5.41,0.17,1220,0.35,0.08,5.96,0.14,53.01
signal2-model2INFO-INFY-,7.50,-8.28,-8.28,20.85,6.38,3,1,5.34,1.38,448,0.34,6.98,13.04,1.40,83.54
signal2-model22330-TSM-,0.51,-10.35,-7.44,5.46,0.37,3,2,2.75,0.20,483,0.18,0.65,4.05,0.19,65.63
signal2-model2ICICIBC-IBN-,9.02,-7.13,-6.37,29.44,8.50,2,2,5.80,1.52,597,0.37,7.75,18.19,1.56,83.33
signal2-model2TTMT-TTM-,10.68,-10.80,-10.24,35.59,11.17,2,2,7.61,1.37,224,0.49,10.09,21.17,1.40,83.58
signal2-model2HDFCB-HDB-,8.82,-3.93,-2.95,31.06,7.83,2,1,7.53,1.16,243,0.48,7.21,14.49,1.17,83.09
signal2-model22303-UMC-,3.39,-6.08,-5.45,21.56,3.42,3,2,6.11,0.58,475,0.39,2.38,7.56,0.56,59.85
