x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,Äê»¯ÊÕÒæÂÊ(%),×î´ó»Ø³·(%),³ÖÓÐ1Äê×îµÍÊÕÒæ(%),³ÖÓÐ1Äê×î¸ßÊÕÒæ(%),³ÖÓÐ1ÄêÆ½¾ùÊÕÒæ(%),×î´óÁ¬ÐøÉÏÕÇÌìÊý,×î´óÁ¬ÐøÏÂµøÌìÊý,ÊÕÒæ²¨¶¯ÂÊ(%),ÏÄÆÕ±ÈÂÊ,×î³¤ÐÂ¸ß¼ä¸ô,ÏÂµø²¨¶¯ÂÊ(%),³ÖÓÐ1ÄêÊÕÒæÖÐÎ»Êý(%),³ÖÓÐ1ÄêÊÕÒæ90%·ÖÎ»Êý(%),ÐÅÏ¢±ÈÂÊ,Ê¤ÂÊ(%)
s43¿ò¼ÜISO-S43¿ò¼Ü-ukx,-3.64,-5.92,NaN,NaN,NaN,4,3,14.88,-0.18,14,0.95,NaN,NaN,-0.24,52.94
s43¿ò¼ÜISO-S43¿ò¼Ü-xin9i,10.62,-16.91,NaN,NaN,NaN,6,5,20.94,0.59,126,1.34,NaN,NaN,0.51,53.28
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-hsce,34.37,-12.45,NaN,NaN,NaN,5,7,20.64,1.54,64,1.32,NaN,NaN,1.66,48.48
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-US,23.83,-5.82,NaN,NaN,NaN,4,4,13.51,1.66,57,0.87,NaN,NaN,1.76,52.17
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-HK,45.32,-8.35,NaN,NaN,NaN,6,5,20.21,1.96,26,1.29,NaN,NaN,2.24,53.13
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-forex-day,-7.32,-4.99,NaN,NaN,NaN,4,4,5.33,-1.41,34,0.34,NaN,NaN,-1.37,41.67
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-as51,30.02,-5.64,NaN,NaN,NaN,7,4,15.37,1.80,57,0.98,NaN,NaN,1.95,61.97
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-topix,38.30,-4.64,NaN,NaN,NaN,8,4,13.76,2.44,21,0.88,NaN,NaN,2.78,60.56
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-twse,0.67,-24.65,NaN,NaN,NaN,6,6,22.97,0.14,5,1.47,NaN,NaN,0.03,52.82
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-hk-ggt,13.86,-9.77,NaN,NaN,NaN,8,5,19.63,0.76,49,1.26,NaN,NaN,0.71,51.52
