x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,Äê»¯ÊÕÒæÂÊ(%),×î´ó»Ø³·(%),³ÖÓÐ1Äê×îµÍÊÕÒæ(%),³ÖÓÐ1Äê×î¸ßÊÕÒæ(%),³ÖÓÐ1ÄêÆ½¾ùÊÕÒæ(%),×î´óÁ¬ÐøÉÏÕÇÌìÊý,×î´óÁ¬ÐøÏÂµøÌìÊý,ÊÕÒæ²¨¶¯ÂÊ(%),ÏÄÆÕ±ÈÂÊ,×î³¤ÐÂ¸ß¼ä¸ô,ÏÂµø²¨¶¯ÂÊ(%),³ÖÓÐ1ÄêÊÕÒæÖÐÎ»Êý(%),³ÖÓÐ1ÄêÊÕÒæ90%·ÖÎ»Êý(%),ÐÅÏ¢±ÈÂÊ,Ê¤ÂÊ(%)
s43¿ò¼ÜISO-S43¿ò¼Ü-È«ÊÐ³¡,1.18,-16.23,-9.99,19.20,1.28,11,11,3.43,0.36,618,0.22,0.36,6.34,0.35,54.31
s43¿ò¼ÜISO-S43¿ò¼Ü-ÖÐÖ¤500,1.89,-13.92,-8.75,22.56,2.17,14,11,3.67,0.53,621,0.23,1.18,8.34,0.51,53.28
s43¿ò¼ÜISO-S43¿ò¼Ü-»¦Éî300,2.81,-8.72,-8.30,17.49,3.21,11,9,3.37,0.84,933,0.22,2.79,9.31,0.84,52.91
s43¿ò¼ÜISO-S43¿ò¼Ü-ÖÐÖ¤1000,1.73,-14.73,-8.90,19.82,1.89,14,8,3.38,0.52,536,0.22,1.16,8.00,0.51,54.57
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-È«ÊÐ³¡,2.28,-5.52,-4.31,15.70,2.35,11,9,2.12,1.08,908,0.14,2.17,6.52,1.08,55.89
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-ÖÐÖ¤500,2.95,-4.77,-4.19,18.08,3.17,14,11,2.33,1.26,901,0.15,2.32,7.59,1.27,55.08
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-»¦Éî300,3.52,-4.32,-3.34,14.80,3.81,13,8,2.18,1.60,500,0.14,3.06,8.60,1.62,54.88
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-ÖÐÖ¤1000,2.77,-4.54,-3.37,16.63,2.87,14,8,2.13,1.29,905,0.14,2.42,8.01,1.30,56.02
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-È«ÊÐ³¡,0.47,-1.13,-0.86,1.59,0.45,11,9,0.50,0.95,278,0.03,0.46,1.00,0.95,55.71
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-ÖÐÖ¤500,0.55,-0.87,-0.55,1.59,0.53,13,8,0.55,0.99,214,0.04,0.49,1.05,0.99,54.55
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-»¦Éî300,0.48,-1.79,-1.36,1.66,0.46,13,12,0.54,0.89,621,0.03,0.53,1.14,0.89,52.37
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-ÖÐÖ¤1000,0.59,-0.96,-0.76,1.69,0.56,11,9,0.54,1.10,276,0.03,0.62,1.08,1.10,54.38
s43¿ò¼ÜISO-S43¿ò¼Ü-hsce,13.34,-39.46,-31.15,83.56,18.40,8,10,22.89,0.66,542,1.47,20.79,47.56,0.58,51.05
s43¿ò¼ÜISO-S43¿ò¼Ü-US,18.46,-39.05,-26.69,99.51,19.33,10,7,17.12,1.08,186,1.10,19.77,34.28,1.08,55.90
s43¿ò¼ÜISO-S43¿ò¼Ü-HK,15.97,-35.99,-31.58,87.38,20.39,11,13,22.72,0.76,413,1.45,23.24,50.06,0.70,51.98
s43¿ò¼ÜISO-S43¿ò¼Ü-forex-day,2.63,-14.94,-11.07,15.94,3.11,6,7,5.06,0.54,1121,0.32,3.05,10.73,0.52,49.55
s43¿ò¼ÜISO-S43¿ò¼Ü-as51,12.87,-35.69,-24.32,53.36,14.34,11,8,17.24,0.79,436,1.10,15.32,34.38,0.75,53.28
s43¿ò¼ÜISO-S43¿ò¼Ü-topix,16.45,-37.02,-27.71,81.86,17.06,12,10,16.95,0.98,813,1.09,16.40,41.65,0.97,56.85
s43¿ò¼ÜISO-S43¿ò¼Ü-twse,-0.59,-51.28,-32.30,74.04,0.40,12,10,14.30,0.03,2580,0.92,1.43,17.08,-0.04,55.23
s43¿ò¼ÜISO-S43¿ò¼Ü-hk-ggt,8.68,-38.73,-32.77,71.31,12.07,13,9,20.11,0.51,528,1.29,11.98,38.62,0.43,54.01
s43¿ò¼ÜISO-S43¿ò¼Ü-kosdaq,28.11,-39.55,-36.05,144.86,31.57,20,9,19.28,1.38,206,1.23,27.62,59.94,1.46,59.25
s43¿ò¼ÜISO-S43¿ò¼Ü-kospi,21.11,-41.24,-41.10,233.08,25.26,15,8,17.72,1.17,332,1.13,18.20,60.27,1.19,55.09
s43¿ò¼ÜISO-S43¿ò¼Ü-msci,12.85,-34.30,-23.70,101.09,15.00,10,10,18.70,0.74,650,1.20,18.30,38.65,0.69,54.05
s43¿ò¼ÜISO-S43¿ò¼Ü-ndx,25.40,-45.81,-23.54,81.72,26.04,14,9,20.44,1.21,287,1.31,29.86,50.34,1.24,56.06
s43¿ò¼ÜISO-S43¿ò¼Ü-nifty,19.98,-22.41,-19.24,133.02,22.03,9,9,18.11,1.10,342,1.16,13.72,56.77,1.10,54.08
s43¿ò¼ÜISO-S43¿ò¼Ü-nky,10.04,-35.05,-27.91,84.02,12.39,11,11,19.62,0.59,786,1.26,11.85,47.70,0.51,52.23
s43¿ò¼ÜISO-S43¿ò¼Ü-RTY,16.89,-34.61,-21.55,123.15,18.59,14,8,19.40,0.90,371,1.24,16.86,38.31,0.87,54.27
s43¿ò¼ÜISO-S43¿ò¼Ü-set50,23.54,-36.09,-25.24,130.18,28.47,16,9,23.92,1.00,335,1.53,23.97,71.84,0.98,52.83
s43¿ò¼ÜISO-S43¿ò¼Ü-sx5e,7.18,-42.32,-36.07,72.88,8.32,10,9,19.08,0.46,805,1.22,12.16,27.37,0.38,52.56
s43¿ò¼ÜISO-S43¿ò¼Ü-ukx,11.53,-43.66,-33.28,56.75,11.31,10,7,17.38,0.72,305,1.11,12.29,32.60,0.66,53.30
s43¿ò¼ÜISO-S43¿ò¼Ü-xin9i,17.29,-43.41,-39.88,153.03,23.25,9,9,24.70,0.77,964,1.58,20.01,73.43,0.70,50.59
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-hsce,27.50,-34.65,-27.33,116.87,32.28,8,10,26.05,1.06,512,1.67,30.02,75.13,1.06,51.73
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-US,23.33,-34.61,-18.83,115.52,24.60,10,7,17.45,1.29,267,1.12,25.17,41.79,1.34,56.85
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-HK,25.67,-37.06,-33.95,128.52,28.90,11,10,25.48,1.02,647,1.63,26.52,74.57,1.01,52.56
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-forex-day,4.83,-9.14,-6.62,17.20,5.32,10,6,4.50,1.07,248,0.29,4.79,11.11,1.07,52.10
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-as51,30.35,-31.42,-16.13,111.00,32.36,13,8,18.58,1.52,239,1.19,27.18,69.05,1.63,55.94
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-topix,33.08,-31.11,-22.49,110.59,34.30,14,9,17.40,1.73,381,1.11,35.26,68.28,1.90,59.19
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-twse,18.52,-28.85,-22.54,124.05,20.53,13,8,15.08,1.20,410,0.97,20.96,42.71,1.23,58.43
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-hk-ggt,22.97,-41.26,-31.64,96.03,26.77,13,10,21.69,1.06,421,1.39,27.61,60.63,1.06,55.43
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-kosdaq,58.45,-34.59,-17.38,228.69,61.49,20,12,19.68,2.44,156,1.26,55.89,98.24,2.97,61.18
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-kospi,45.36,-19.19,-16.94,379.91,51.73,17,10,19.04,2.06,223,1.22,35.49,130.52,2.38,56.02
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-msci,25.53,-34.63,-20.58,141.99,28.20,10,8,20.57,1.21,369,1.32,27.71,57.09,1.24,54.38
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-ndx,30.32,-31.99,-18.00,95.11,31.07,15,9,20.79,1.38,311,1.33,32.23,58.86,1.46,55.52
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-nifty,26.99,-30.52,-27.07,132.28,31.44,9,10,18.41,1.39,349,1.18,23.61,67.37,1.47,53.37
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-nky,14.92,-32.34,-30.25,103.03,17.44,14,9,19.97,0.80,596,1.28,16.15,55.78,0.75,52.88
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-RTY,30.34,-33.13,-11.01,163.85,32.50,15,8,19.35,1.47,144,1.24,28.63,54.92,1.57,56.76
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-set50,38.28,-35.80,-29.53,146.46,46.38,12,7,25.79,1.39,281,1.65,44.15,98.07,1.48,53.46
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-sx5e,8.47,-38.61,-34.09,70.04,9.22,13,10,18.75,0.53,770,1.20,11.22,32.26,0.45,53.24
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-ukx,16.18,-37.58,-28.75,66.34,15.94,14,11,17.86,0.93,400,1.14,16.79,38.81,0.91,53.64
s43¿ò¼ÜISOEAÐÞÕý-S43¿ò¼ÜEAÐÞÕý-xin9i,32.61,-41.47,-32.54,194.16,41.55,9,8,26.41,1.20,965,1.69,34.95,106.78,1.23,53.00
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-hsce,9.20,-50.66,-31.36,103.62,11.24,9,12,21.11,0.52,1048,1.35,7.54,46.09,0.44,49.64
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-US,25.42,-30.95,-15.95,89.01,26.89,11,8,21.41,1.17,271,1.37,25.74,54.38,1.19,56.24
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-HK,13.30,-31.11,-27.23,82.71,14.59,8,13,19.81,0.73,852,1.27,12.97,44.90,0.67,51.53
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-forex-day,2.07,-2.06,-1.07,10.26,2.21,6,6,2.43,0.86,307,0.16,2.10,4.47,0.85,54.14
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-as51,29.52,-35.25,-25.64,121.23,34.06,9,8,27.23,1.08,516,1.74,34.02,69.58,1.08,53.69
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-topix,44.49,-32.87,-10.80,137.71,47.03,15,8,22.68,1.74,227,1.45,45.02,90.51,1.96,56.78
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-twse,14.60,-39.57,-38.11,71.06,18.93,12,10,23.62,0.70,468,1.51,21.92,45.73,0.62,52.38
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-hk-ggt,19.99,-42.79,-31.02,123.56,24.19,9,10,28.92,0.77,370,1.85,20.86,60.30,0.69,52.03
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-kosdaq,64.70,-39.34,-23.62,261.86,75.66,13,13,28.64,1.89,206,1.83,62.54,151.03,2.26,57.02
s43¿ò¼ÜISORSIÐÞÕý-S43¿ò¼ÜRSIÐÞÕý-kospi,36.42,-41.53,-30.03,251.68,42.55,10,8,29.27,1.21,569,1.87,28.46,126.74,1.24,52.18
