info,tradeDetail
S43框架EA修正-as51,"2010-12-15:FPH 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-15:HLS 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-15:MND 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-15:QUB 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-15:WOR 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-15:WPL 持有期,收益为 -0.00%,明日信号为 平仓"
S43框架EA修正-as51,"2010-12-15:NHF 开盘建仓,当日收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:ALD 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:AWC 持有期,收益为 0.05%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:BHP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:CBA 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:CGF 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:DOW 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:FPH 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:HLS 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:MND 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:NHF 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:QUB 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:WOR 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-16:WPL 开盘平仓,开盘收益为 -0.00%,明日信号为 平仓"
S43框架EA修正-as51,"2010-12-17:ALD 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-17:AWC 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-as51,"2010-12-17:BHP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-as51,"2010-12-17:CBA 持有期,收益为 -0.00%,明日信号为 多"
