info,tradeDetail
S43框架EA修正-set50,"2011-03-23:BTS 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-03-23:PTTEP 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-03-24:BTS 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-03-24:PTTEP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-03-25:BTS 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-03-25:PTTEP 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-03-28:BTS 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-03-28:PTTEP 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-03-29:BTS 持有期,收益为 -0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-03-29:PTTEP 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-03-30:PTTEP 持有期,收益为 0.01%,明日信号为 平仓"
S43框架EA修正-set50,"2011-03-30:BTS 开盘平仓,开盘收益为 0.01%,明日信号为 平仓"
S43框架EA修正-set50,"2011-03-31:PTTEP 开盘平仓,开盘收益为 0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-04-05:PTTEP 开盘建仓,当日收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-06:PTTEP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-07:PTTEP 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-04-08:PTTEP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-11:PTTEP 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-04-12:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-13:PTTEP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-14:PTTEP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-15:PTTEP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-18:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-19:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-20:PTTEP 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-04-20:EGCO 开盘建仓,当日收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-21:EGCO 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-21:PTTEP 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-21:ADVANC 开盘建仓,当日收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-22:ADVANC 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-22:EGCO 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-22:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-22:SCB 开盘建仓,当日收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-25:ADVANC 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-25:EGCO 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-25:PTTEP 持有期,收益为 -0.01%,明日信号为 平仓"
S43框架EA修正-set50,"2011-04-25:SCB 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-04-26:ADVANC 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-26:EGCO 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-26:SCB 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-26:PTTEP 开盘平仓,开盘收益为 -0.01%,明日信号为 平仓"
S43框架EA修正-set50,"2011-04-27:ADVANC 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-27:EGCO 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-27:SCB 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-28:ADVANC 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-28:EGCO 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-28:SCB 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-29:ADVANC 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-04-29:EGCO 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-04-29:SCB 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-02:ADVANC 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-02:EGCO 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-02:SCB 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-03:ADVANC 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-03:EGCO 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-03:SCB 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-05-04:ADVANC 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-04:EGCO 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-04:SCB 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-05:ADVANC 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-05:EGCO 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-05:SCB 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-06:ADVANC 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-06:EGCO 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-06:SCB 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-06:TU 开盘建仓,当日收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-09:ADVANC 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-09:EGCO 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-09:SCB 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-09:TU 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-set50,"2011-05-10:ADVANC 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-10:EGCO 持有期,收益为 0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-05-10:SCB 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-10:TU 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-11:ADVANC 持有期,收益为 0.02%,明日信号为 平仓"
S43框架EA修正-set50,"2011-05-11:SCB 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-11:TU 持有期,收益为 0.05%,明日信号为 多"
S43框架EA修正-set50,"2011-05-11:EGCO 开盘平仓,开盘收益为 0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-05-12:SCB 持有期,收益为 -0.01%,明日信号为 平仓"
S43框架EA修正-set50,"2011-05-12:TU 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-12:DELTA 开盘建仓,当日收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-12:ADVANC 开盘平仓,开盘收益为 -0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-05-13:DELTA 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-13:TU 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-13:CPF 开盘建仓,当日收益为 -0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-13:SCB 开盘平仓,开盘收益为 0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-05-16:CPF 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-16:DELTA 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-16:TU 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-17:CPF 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-17:DELTA 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-17:TU 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-18:CPF 持有期,收益为 -0.05%,明日信号为 多"
S43框架EA修正-set50,"2011-05-18:DELTA 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-18:TU 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-19:CPF 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-19:DELTA 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-19:TU 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-20:CPF 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-20:DELTA 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-20:TU 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-23:CPF 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-23:DELTA 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-23:TU 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-24:CPF 持有期,收益为 0.06%,明日信号为 多"
S43框架EA修正-set50,"2011-05-24:DELTA 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-24:TU 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-set50,"2011-05-25:CPF 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-25:DELTA 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-25:TU 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-05-26:CPF 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-05-26:DELTA 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-26:TU 持有期,收益为 -0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-05-27:CPF 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-27:DELTA 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-05-27:TU 开盘平仓,开盘收益为 0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-05-30:CPF 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-05-30:DELTA 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-31:CPF 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-05-31:DELTA 持有期,收益为 -0.04%,明日信号为 多"
S43框架EA修正-set50,"2011-06-01:CPF 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-01:DELTA 持有期,收益为 0.01%,明日信号为 平仓"
S43框架EA修正-set50,"2011-06-02:CPF 持有期,收益为 -0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-06-02:PTTEP 开盘建仓,当日收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-02:DELTA 开盘平仓,开盘收益为 -0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-06-03:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-03:CPF 开盘平仓,开盘收益为 0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-06-06:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-07:PTTEP 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-06-08:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-09:PTTEP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-06-10:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-13:PTTEP 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-06-14:PTTEP 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-set50,"2011-06-15:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-16:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-17:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-20:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-21:PTTEP 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-06-22:PTTEP 持有期,收益为 -0.02%,明日信号为 平仓"
S43框架EA修正-set50,"2011-06-22:CPN 开盘建仓,当日收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-23:CPN 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-06-23:PTTEP 开盘平仓,开盘收益为 -0.00%,明日信号为 平仓"
S43框架EA修正-set50,"2011-06-24:CPN 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-set50,"2011-06-27:CPN 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-06-28:CPN 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-29:CPN 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-06-30:CPN 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-01:CPN 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-01:BBL 开盘建仓,当日收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-04:BBL 持有期,收益为 0.05%,明日信号为 多"
S43框架EA修正-set50,"2011-07-04:CPN 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-04:HMPRO 开盘建仓,当日收益为 0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-07-05:BBL 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-05:CPN 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-05:HMPRO 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-06:BBL 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-06:CPN 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-06:HMPRO 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-06:CPALL 开盘建仓,当日收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-06:IVL 开盘建仓,当日收益为 -0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-07-06:LH 开盘建仓,当日收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-06:PTT 开盘建仓,当日收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-06:PTTEP 开盘建仓,当日收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-07:BBL 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-07:CPALL 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-set50,"2011-07-07:CPN 持有期,收益为 0.08%,明日信号为 多"
S43框架EA修正-set50,"2011-07-07:HMPRO 持有期,收益为 0.04%,明日信号为 多"
S43框架EA修正-set50,"2011-07-07:IVL 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-07:LH 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-07:PTT 持有期,收益为 -0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-07:PTTEP 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-08:BBL 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-08:CPALL 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-08:CPN 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-08:HMPRO 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-08:IVL 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-08:LH 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-07-08:PTT 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-08:PTTEP 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-11:BBL 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-07-11:CPALL 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-07-11:CPN 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-11:HMPRO 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-11:IVL 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-11:LH 持有期,收益为 -0.04%,明日信号为 多"
S43框架EA修正-set50,"2011-07-11:PTT 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-11:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-12:BBL 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-12:CPALL 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-12:CPN 持有期,收益为 0.01%,明日信号为 平仓"
S43框架EA修正-set50,"2011-07-12:HMPRO 持有期,收益为 -0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-12:IVL 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-07-12:LH 持有期,收益为 -0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-07-12:PTT 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-12:PTTEP 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-13:BBL 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-13:CPALL 持有期,收益为 0.03%,明日信号为 多"
S43框架EA修正-set50,"2011-07-13:HMPRO 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-13:IVL 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-13:LH 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-13:PTT 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-13:PTTEP 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-13:CPN 开盘平仓,开盘收益为 -0.02%,明日信号为 平仓"
S43框架EA修正-set50,"2011-07-14:BBL 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-14:CPALL 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-14:HMPRO 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-14:IVL 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-14:LH 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-14:PTT 持有期,收益为 0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-14:PTTEP 持有期,收益为 0.02%,明日信号为 多"
S43框架EA修正-set50,"2011-07-15:BBL 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-15:CPALL 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-15:HMPRO 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-15:IVL 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-15:LH 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-15:PTT 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-15:PTTEP 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-18:BBL 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-18:CPALL 持有期,收益为 0.00%,明日信号为 多"
S43框架EA修正-set50,"2011-07-18:HMPRO 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-18:IVL 持有期,收益为 -0.01%,明日信号为 多"
S43框架EA修正-set50,"2011-07-18:LH 持有期,收益为 0.05%,明日信号为 多"
S43框架EA修正-set50,"2011-07-18:PTT 持有期,收益为 0.01%,明日信号为 多"
