,4423
1802 JT Equity,-2.0
1808 JT Equity,-1.0
2002 JT Equity,-1.0
3382 JT Equity,-1.0
3863 JT Equity,-1.0
4911 JT Equity,1.0
5202 JT Equity,1.0
5631 JT Equity,1.0
5803 JT Equity,1.0
6113 JT Equity,1.0
6305 JT Equity,1.0
6976 JT Equity,-1.0
8766 JT Equity,-1.0
9433 JT Equity,-1.0
9501 JT Equity,-1.0
9983 JT Equity,-2.0
