,S102,csi000300,XIN9,S102-300,S102-XIN9
2020-03-05,0.0,0.022279194663491264,0.02687538711787485,-0.022279194663491264,-0.02687538711787485
2020-03-06,0.0,-0.016216871536799182,-0.01768312017757112,0.016216871536799182,0.01768312017757112
2020-03-09,0.0,-0.0341620534926822,-0.029787920849607685,0.0341620534926822,0.029787920849607685
2020-03-10,0.0,0.021415365524763974,0.01876780460899541,-0.021415365524763974,-0.01876780460899541
2020-03-11,0.0,-0.013299924315347877,-0.011341790083989278,0.013299924315347877,0.011341790083989278
2020-03-12,0.0,-0.019243228751647634,-0.015984173649419953,0.019243228751647634,0.015984173649419953
2020-03-13,0.0,-0.01407270730034349,-0.015881269069234927,0.01407270730034349,0.015881269069234927
2020-03-16,-0.034939875610105586,-0.04299272715136915,-0.03773969638142505,0.008052851541263562,0.002799820771319461
2020-03-17,-0.034939875610105586,-0.004871453710459717,-0.007334764942486194,-0.03006842189964587,-0.027605110667619392
2020-03-18,0.0,-0.01979146449289415,-0.022625569091271114,0.01979146449289415,0.022625569091271114
2020-03-19,0.0,-0.012972119705411678,-0.025144282452590594,0.012972119705411678,0.025144282452590594
2020-03-20,0.02846056239025585,0.0178680389736674,0.025240620866801455,0.01059252341658845,0.003219941523454395
2020-03-23,0.02846056239025585,-0.0336442918849672,-0.028414662183404826,0.062104854275223054,0.056875224573660677
2020-03-24,0.009552171546347799,0.026853165869286322,0.030348536587813113,-0.017300994322938523,-0.020796365041465315
2020-03-25,0.009552171546347799,0.026870908744837996,0.027507814858455992,-0.017318737198490197,-0.017955643312108194
2020-03-26,0.0,-0.006573503970428551,-0.004219039382702849,0.006573503970428551,0.004219039382702849
2020-03-27,0.0,0.003247657549248828,0.004660447977233861,-0.003247657549248828,-0.004660447977233861
2020-03-30,-0.022602285687071122,-0.009689870244686039,-0.005477228607585483,-0.012912415442385083,-0.01712505707948564
2020-03-31,-0.022602285687071122,0.00327970583352144,0.0013661321472882015,-0.025881991520592562,-0.023968417834359323
2020-04-01,0.0,-0.0030058380536927,-0.0021070455226471774,0.0030058380536927,0.0021070455226471774
2020-04-02,0.0,0.016176518606397794,0.014013873265841692,-0.016176518606397794,-0.014013873265841692
2020-04-03,0.008076385672338704,-0.005706206671254543,-0.00521205046750195,0.013782592343593247,0.013288436139840654
2020-04-07,0.008076385672338704,0.02283732178540454,0.018144418228840165,-0.014760936113065837,-0.01006803255650146
2020-04-08,0.004255327783379892,-0.004655057108703953,-0.006209527463313713,0.008910384892083845,0.010464855246693605
2020-04-09,0.004255327783379892,0.003298645095414665,0.0005549398205513256,0.0009566826879652268,0.0037003879628285663
2020-04-10,0.0,-0.006230209264371345,0.0008393379576006055,0.006230209264371345,-0.0008393379576006055
2020-04-13,0.0,-0.004223730360449651,-0.002628600918999857,0.004223730360449651,0.002628600918999857
2020-04-14,0.03599784212962476,0.01930055471776515,0.016906503412472018,0.016697287411859607,0.01909133871715274
2020-04-15,0.03599784212962476,-0.007407794651959065,-0.00758125537864518,0.04340563678158382,0.04357909750826994
2020-04-16,0.013959438282188152,0.0013219710535741225,-0.00033203710167140077,0.01263746722861403,0.014291475383859553
2020-04-17,0.013959438282188152,0.009759676833982933,0.013141449985555553,0.004199761448205219,0.0008179882966325991
2020-04-20,0.0,0.0036385040721553796,0.0031114218382013448,-0.0036385040721553796,-0.0031114218382013448
2020-04-21,0.0,-0.011784214705744978,-0.012172987763167886,0.011784214705744978,0.012172987763167886
2020-04-22,0.003067445122818091,0.008227307939759232,0.008763668707162608,-0.005159862816941141,-0.0056962235843445175
2020-04-23,0.003067445122818091,-0.0025082174726127615,-0.0013424108784095834,0.0055756625954308525,0.004409856001227674
2020-04-24,0.0,-0.008559305437691789,-0.0065751989209617,0.008559305437691789,0.0065751989209617
2020-04-27,0.0,0.006794891716289664,0.011389208160190067,-0.006794891716289664,-0.011389208160190067
2020-04-28,0.04113730133678106,0.006900755211535214,0.010032542289392987,0.03423654612524585,0.031104759047388075
2020-04-29,0.04113730133678106,0.004645181403686527,0.007577234279383838,0.036492119933094536,0.033560067057397225
2020-04-30,0.0,0.011779065587802506,0.004486904170572625,-0.011779065587802506,-0.004486904170572625
2020-05-06,0.0,0.006049716555316387,-0.000481858904574084,-0.006049716555316387,0.000481858904574084
2020-05-07,-0.007007036032886771,-0.0028859955541442606,-0.0025354426311466893,-0.00412104047874251,-0.004471593401740082
2020-05-08,-0.007007036032886771,0.009867792473164938,0.008869755119576217,-0.01687482850605171,-0.015876791152462988
2020-05-11,0.0,-0.0008678934913034508,0.0004413630355131204,0.0008678934913034508,-0.0004413630355131204
2020-05-12,0.0,1.5150826477627888e-05,-0.0006369968039313667,-1.5150826477627888e-05,0.0006369968039313667
2020-05-13,0.004566241943506855,0.002022604690624874,0.00036898377136918015,0.0025436372528819806,0.0041972581721376745
2020-05-14,0.004566241943506855,-0.010843570843570904,-0.010513267428607032,0.015409812787077759,0.015079509372113886
2020-05-15,0.0,-0.0031590586005370014,-0.004361892937528311,0.0031590586005370014,0.004361892937528311
2020-05-18,0.0,0.002578702828139212,0.004630852340936409,-0.002578702828139212,-0.004630852340936409
2020-05-19,0.0,0.008498792987858605,0.0068851327735008905,-0.008498792987858605,-0.0068851327735008905
2020-05-20,0.0,-0.005315639810426598,-0.00146492596375436,0.005315639810426598,0.00146492596375436
