,index,
58,601568 TT Equity,-1.0
59,603013 TT Equity,-1.0
60,603056 TT Equity,-1.0
61,603353 TT Equity,-1.0
62,603826 TT Equity,-1.0
63,603968 TT Equity,-1.0
64,605296 TT Equity,-1.0
65,605499 TT Equity,-1.0
66,688008 TT Equity,-1.0
67,688037 TT Equity,-1.0
68,688050 TT Equity,-1.0
69,688089 TT Equity,-1.0
70,688553 TT Equity,-1.0
71,688618 TT Equity,-1.0
0,000037 US Equity,-1.0
1,000622 US Equity,-1.0
2,000635 US Equity,1.0
3,000665 US Equity,-1.0
4,000720 US Equity,-1.0
5,000755 US Equity,1.0
6,000860 US Equity,-1.0
7,000950 US Equity,-1.0
8,000989 US Equity,-1.0
9,002038 US Equity,-1.0
10,002072 US Equity,-1.0
11,002093 US Equity,-1.0
12,002252 US Equity,-1.0
13,002353 US Equity,-1.0
14,002507 US Equity,-1.0
15,002566 US Equity,1.0
16,002636 US Equity,1.0
17,002689 US Equity,1.0
18,002703 US Equity,-1.0
19,002712 US Equity,-1.0
20,002718 US Equity,-1.0
21,002932 US Equity,1.0
22,002966 US Equity,-1.0
23,002982 US Equity,-1.0
24,002995 US Equity,-1.0
25,300065 US Equity,-1.0
26,300108 US Equity,-1.0
27,300251 US Equity,-1.0
28,300261 US Equity,-1.0
29,300273 US Equity,-1.0
30,300294 US Equity,-1.0
31,300356 US Equity,1.0
32,300410 US Equity,-1.0
33,300518 US Equity,1.0
34,300535 US Equity,-1.0
35,300770 US Equity,-1.0
36,300813 US Equity,1.0
37,300834 US Equity,-1.0
38,300866 US Equity,-1.0
39,300981 US Equity,-1.0
40,300993 US Equity,-1.0
41,301058 US Equity,-1.0
42,301077 US Equity,-1.0
43,600057 US Equity,-1.0
44,600094 US Equity,1.0
45,600143 US Equity,-1.0
46,600278 US Equity,1.0
47,600510 US Equity,-1.0
48,600520 US Equity,-1.0
49,600589 US Equity,-1.0
50,600641 US Equity,1.0
51,600713 US Equity,1.0
52,600722 US Equity,-1.0
53,600829 US Equity,1.0
54,600880 US Equity,-1.0
55,600998 US Equity,-1.0
56,601187 US Equity,-1.0
57,601288 US Equity,-1.0
58,601568 US Equity,-1.0
59,603013 US Equity,-1.0
60,603056 US Equity,-1.0
61,603353 US Equity,-1.0
62,603826 US Equity,-1.0
63,603968 US Equity,-1.0
64,605296 US Equity,-1.0
65,605499 US Equity,-1.0
