x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
ZX04-000300-fore_q_equalgrowth_EP1Q-long,24.72,-35.10,-23.11,157.32,26.84,12,7,20.50,1.18,674,1.31,21.52,69.76,1.21,56.30
ZX04-000300-fore_q_equalgrowth_EP1Q-指数,5.33,-46.70,-42.53,147.77,6.92,12,9,23.22,0.34,1361,1.49,2.00,34.41,0.23,52.58
ZX04-000300-fore_q_equalgrowth_EP1Qlong-指数,16.93,-24.00,-16.13,51.81,18.25,13,13,11.46,1.42,261,0.73,17.52,36.43,1.48,55.43
ZX04-000300-fore_q_equalgrowth_EPTTM-long,25.89,-37.61,-27.23,172.42,28.44,11,9,21.25,1.19,680,1.36,20.92,85.65,1.22,55.43
ZX04-000300-fore_q_equalgrowth_EPTTM-指数,5.33,-46.70,-42.53,147.77,6.92,12,9,23.22,0.34,1361,1.49,2.00,34.41,0.23,52.58
ZX04-000300-fore_q_equalgrowth_EPTTMlong-指数,18.17,-26.38,-16.90,56.22,19.24,11,9,11.81,1.47,291,0.76,16.58,42.62,1.54,54.73
ZX04-000300-fore_q_equalgrowth_Grh1Q-long,15.79,-33.01,-24.87,165.65,18.98,11,10,20.61,0.82,575,1.32,16.46,40.90,0.77,54.93
ZX04-000300-fore_q_equalgrowth_Grh1Q-指数,5.33,-46.70,-42.53,147.77,6.92,12,9,23.22,0.34,1361,1.49,2.00,34.41,0.23,52.58
ZX04-000300-fore_q_equalgrowth_Grh1Qlong-指数,8.74,-24.53,-15.47,59.75,11.64,12,11,10.18,0.87,244,0.65,9.66,27.46,0.86,53.73
ZX04-000300-fore_q_equalgrowth_GrhTTM-long,16.49,-38.63,-30.83,214.63,20.34,14,9,23.03,0.78,590,1.47,16.25,43.65,0.72,54.50
ZX04-000300-fore_q_equalgrowth_GrhTTM-指数,5.33,-46.70,-42.53,147.77,6.92,12,9,23.22,0.34,1361,1.49,2.00,34.41,0.23,52.58
ZX04-000300-fore_q_equalgrowth_GrhTTMlong-指数,9.88,-21.34,-19.02,59.51,12.67,10,11,11.01,0.91,231,0.71,8.64,31.84,0.90,54.20
ZX04-000300-fore_q_equalratio_EP1Q-long,22.55,-34.94,-22.94,139.13,25.07,14,8,20.38,1.10,521,1.30,18.10,65.07,1.11,55.80
