,candle_end_time,open,close,DIF,DEA,MACD,min,price_new_low,last_valley_price,last_valley_dif,state,macd_sig,signal,Observation,RollingMean,UpperBound,LowerBound,sell_sig1,sell_sig2,sell_sig3,r
0,2007-01-04,2728.19,2715.72,0.0,0.0,0.0,2715.72,,,,,False,0.0,2715.72,,,,False,False,,
1,2007-01-05,2668.58,2641.33,-5.93424501424488,-1.186849002848976,-9.494792022791808,2641.33,,,,,False,0.0,2641.33,,,,False,False,,-0.027392367401646633
2,2007-01-08,2621.07,2707.2,-5.26136865772196,-2.001752933823573,-6.519231447796773,2621.07,,,,,False,0.0,2707.2,,,,False,False,,0.024938194015893478
3,2007-01-09,2711.05,2807.8,3.350843515140241,-0.9312336440308101,8.564154318342101,2711.05,,,,,False,0.0,2807.8,,,,False,False,,0.037160165484633634
4,2007-01-10,2838.11,2825.58,11.478464522196191,1.5507059892145905,19.855517065963202,2825.58,,,,,False,0.0,2825.58,,,,False,False,,0.006332359854690495
5,2007-01-11,2819.37,2770.11,13.290492781032754,3.898663347578223,18.78365886690906,2770.11,,,,,False,0.0,2770.11,,,,False,False,,-0.019631367719193826
6,2007-01-12,2745.32,2668.11,6.421962296861238,4.4033231374348265,4.037278318852824,2668.11,,,,,False,0.0,2668.11,,,,False,False,,-0.03682164246185171
7,2007-01-15,2660.07,2794.7,11.065797817275325,5.7358180734029265,10.659959487744796,2660.07,,,,,False,0.0,2794.7,,,,False,False,,0.047445570085191235
8,2007-01-16,2818.66,2821.02,16.677625671534315,7.924179593029204,17.50689215701022,2818.66,,,,,False,0.0,2821.02,,,,False,False,,0.00941782660035062
9,2007-01-17,2828.4,2778.9,17.524298484169776,9.844203371257318,15.360190225824915,2778.9,,,,,False,0.0,2778.9,,,,False,False,,-0.01493076972159002
10,2007-01-18,2760.94,2756.98,16.23933503556009,11.123229704117872,10.232210662884434,2756.98,,,,,False,0.0,2756.98,,,,False,False,,-0.007888013242649983
11,2007-01-19,2761.89,2832.21,21.048787205047574,13.108341204303812,15.880892001487524,2761.89,,,,,False,0.0,2832.21,,,,False,False,,0.027287104005107032
12,2007-01-22,2857.9,2933.19,32.632388908150006,17.01315074507305,31.238476326153908,2857.9,,,,,False,0.0,2933.19,,,,False,False,,0.03565413581620014
13,2007-01-23,2964.69,2949.14,42.60834592444826,22.132189780948096,40.952312287000325,2949.14,,,,,False,0.0,2949.14,,,,False,False,,0.005437765709006115
14,2007-01-24,2955.42,2975.13,52.01197782126883,28.10814738901224,47.807660864513174,2955.42,,,,,False,0.0,2975.13,,,,False,False,,0.008812738628888539
15,2007-01-25,2946.5,2857.36,49.392008762410114,32.36491966369182,34.054178197436585,2857.36,,,,,False,0.0,2857.36,,,,False,False,,-0.039584824864795864
16,2007-01-26,2805.96,2882.56,48.78671096686685,35.64927792432683,26.274866085080035,2805.96,,,,,False,0.0,2882.56,,,,False,False,,0.008819329730940462
17,2007-01-29,2897.25,2945.26,52.75821028982409,39.071064397426284,27.374291784795616,2897.25,,,,,False,0.0,2945.26,,,,False,False,,0.021751498667850866
18,2007-01-30,2959.4,2930.56,54.095901095106,42.07603173696223,24.039738716287545,2930.56,,,,,False,0.0,2930.56,,,,False,False,,-0.0049910703978597315
19,2007-01-31,2926.07,2786.33,43.021944875938516,42.26521436475749,1.5134610223620513,2786.33,,,,,False,0.0,2786.33,2818.9595,3006.3634412045544,2631.5555587954454,False,False,,-0.049215849530465205
20,2007-02-01,2744.81,2785.43,33.783694905070206,40.568910472820036,-13.57043113549966,2744.81,,,,,False,0.0,2785.43,2822.445,3004.5570779629957,2640.3329220370047,False,False,,-0.0003230055305725177
