x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
连豆粕0011合约,3479,3479,909,2570,0.411607369130674,-0.112397720579428,26.1281977579764,130.812886190622,14.4006399898866,9.40017865698637,226.819480140083,6.05,-14.40,-7.81,28.02,6.01,7,34,4.81,1.25,1336,0.31,5.30,15.12,1.26,26.14
郑甲醇001合约,949,949,260,689,1.1084885859112,-0.185083998020801,27.3972602739726,262.618942649609,4.63577170379611,69.1830723523733,298.672221169625,39.30,-4.64,7.20,160.37,54.27,5,16,51.18,0.81,95,3.28,16.69,142.82,0.77,27.43
沪镍1507合约,763,763,203,560,0.539174767365618,-0.165030165871042,26.605504587156,17.7771298214476,7.89245265022688,5.82474764791862,27.1127640795695,5.27,-7.89,-3.47,13.59,3.93,4,23,6.59,0.81,289,0.42,3.94,8.71,0.80,26.51
郑菜油001合约,1220,1220,319,901,0.409204138501205,-0.110150581050592,26.1475409836066,35.9417121201054,3.1436618649257,7.36510494264455,53.575144018164,6.35,-3.14,0.51,14.04,7.19,5,22,4.84,1.30,225,0.31,7.03,12.10,1.31,26.17
连棕油0801合约,2562,2562,722,1840,0.50417720977342,-0.134828425007839,28.1811085089774,212.701614690915,7.7541756673653,20.7554268824078,303.963501502884,11.48,-7.75,-2.14,37.64,10.83,8,39,6.04,1.83,214,0.39,10.09,19.89,1.90,28.19
沪铅1109合约,1732,1732,397,1335,0.448654579886717,-0.0957796359160818,22.9214780600462,63.7666495799501,4.39790185963607,9.20419306869949,94.7244488280249,7.20,-4.40,-0.13,15.72,7.17,4,22,5.11,1.39,136,0.33,7.04,12.42,1.41,22.93
连聚丙烯1405合约,1024,1024,276,748,0.568347387955377,-0.165822270366028,26.953125,37.6929151771432,5.65709845174697,9.20237186941972,52.5343304485947,7.95,-5.66,0.92,17.67,6.72,10,26,6.35,1.24,163,0.41,6.03,11.16,1.25,26.98
沪螺钢0909合约,2219,2219,565,1654,0.601933031580657,-0.130721220299254,25.4619197836863,238.516182557148,4.93572939118396,26.8720349884124,322.563950236435,14.36,-4.94,1.82,29.57,14.74,4,25,6.50,2.10,158,0.42,14.11,23.87,2.21,25.47
郑菜籽粕001合约,1169,1169,341,828,0.48818528720333,-0.152421466966019,29.1702309666382,48.3219593152467,6.56377599091485,10.3340374925677,66.7075180812894,8.62,-6.56,-3.00,15.12,8.40,5,16,5.94,1.42,251,0.38,8.70,12.49,1.45,29.20
郑菜油001合约,805,805,227,578,0.308504644351657,-0.088944458977823,28.1987577639752,20.1924793937641,3.46980693724725,6.2709563334671,30.2651859266183,5.76,-3.47,0.32,12.40,6.77,5,16,3.72,1.53,163,0.24,7.57,10.80,1.55,28.23
沪天胶0201合约,3477,3477,882,2595,0.796504472447748,-0.194749457940411,25.3666954270923,577.148914590145,10.9623784018868,41.497621123824,858.518032702923,14.38,-10.96,-10.24,43.17,14.16,7,28,9.09,1.52,396,0.58,13.28,32.21,1.58,25.37
郑硅铁001合约,1011,1011,303,708,0.597901082680093,-0.191913612919304,29.9703264094956,54.8881733715298,5.87483344804959,13.5727431680341,71.3581992754748,11.24,-5.87,-2.33,22.44,10.36,4,23,8.67,1.27,138,0.56,10.86,19.93,1.30,30.00
