x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
理想反转-全市场,16.43,-7.13,1.70,27.38,17.27,11,12,6.18,2.49,138,0.40,18.15,22.34,2.66,54.98
理想反转-中证500,6.57,-10.59,-8.39,29.37,7.28,9,11,7.44,0.89,267,0.48,5.76,20.05,0.88,51.63
理想反转-沪深300,5.40,-21.00,-13.23,20.43,5.28,9,10,7.49,0.74,217,0.48,6.32,13.81,0.72,53.02
聪明钱-全市场,10.72,-6.62,-4.76,50.43,11.57,12,13,5.13,2.01,460,0.33,6.70,37.84,2.09,55.12
聪明钱-中证500,9.19,-18.08,-12.58,44.89,9.75,12,10,6.91,1.31,132,0.44,8.77,31.55,1.33,54.98
聪明钱-沪深300,8.59,-16.65,-9.68,56.90,8.88,14,9,7.45,1.14,606,0.48,2.47,38.96,1.15,53.51
APM-全市场,11.54,-7.31,0.37,27.85,11.95,13,8,4.74,2.33,172,0.30,12.04,20.27,2.43,57.76
APM-中证500,8.81,-13.42,-10.39,33.69,9.78,13,9,6.23,1.39,443,0.40,11.72,19.46,1.41,54.54
APM-沪深300,9.63,-8.88,-5.68,27.40,9.36,15,8,7.21,1.31,343,0.46,8.98,20.42,1.34,54.78
S32综合因子-全市场,20.00,-6.53,-3.75,48.15,21.98,24,8,5.10,3.60,67,0.33,23.89,39.10,3.92,58.59
S32综合因子-中证500,12.96,-10.81,-8.73,61.68,14.19,11,10,6.59,1.88,104,0.42,11.81,42.41,1.97,54.20
S32综合因子-沪深300,11.21,-17.02,-10.33,37.33,12.23,19,15,6.89,1.58,89,0.44,13.85,27.12,1.63,55.27
