x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
,总计交易日,交易次数,盈利次数,亏损次数,平均盈利率%,平均亏损率%,成功率%,累计收益率%,最大回撤率%,年化收益率%,累计收益（无手续费）%,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
ZJIH,1078,1078,301,777,0.525011622495144,-0.165507963312069,27.9220779220779,32.9897333146331,12.9708877522274,7.65068026777207,48.1223981339384,6.69,-12.97,-12.20,22.97,6.04,5,18,6.47,1.04,388,0.41,5.04,20.90,1.04,27.95
ZJIC,1095,1095,311,784,0.687421100532523,-0.20686029755362,28.4018264840183,65.1364945047631,6.00279927196089,14.8713457773432,84.2361167963306,11.92,-6.00,-3.04,33.05,15.60,4,15,8.04,1.44,100,0.51,16.19,25.68,1.48,28.43
ZJIF,2313,2313,622,1691,0.664195757616664,-0.191606533958068,26.8914829226113,135.805264201122,8.96762532888413,14.6784764592652,197.142630847003,9.49,-8.97,-3.37,34.79,10.38,6,28,8.44,1.12,232,0.54,8.51,22.56,1.12,26.90
