x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
网络动量因子-全市场,21.27,-8.06,3.70,73.93,24.57,12,10,6.71,2.91,126,0.43,18.32,46.42,3.17,59.02
网络动量因子-中证500,10.61,-17.59,-12.09,55.11,12.38,14,8,7.54,1.38,257,0.48,10.06,38.50,1.41,54.55
网络动量因子-沪深300,7.47,-13.36,-7.48,64.41,10.55,10,8,8.04,0.94,701,0.52,2.60,44.97,0.93,52.47
