x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S52P2:dongfang-v1,22.61,-12.93,-5.38,62.62,24.89,14,14,7.06,2.92,82,0.45,24.32,40.27,3.20,57.54
S52P2:dongfang-v2,28.62,-21.22,-10.79,91.81,33.42,21,10,7.54,3.38,130,0.48,27.57,59.78,3.79,61.33
S52P2:equal,15.59,-12.08,-8.05,38.35,17.42,16,9,6.30,2.33,104,0.40,18.03,28.97,2.48,55.50
S52P2:guojun,23.10,-14.83,-6.07,66.37,25.76,12,14,7.35,2.87,78,0.47,24.87,41.68,3.14,57.31
S52P2:icir,21.42,-13.56,-7.84,65.07,24.20,13,14,6.85,2.87,93,0.44,23.70,41.91,3.13,57.35
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
策略曲线,17.22,-67.11,-53.64,238.24,18.53,14,10,33.69,0.64,529,2.16,9.76,68.16,0.51,55.98
000906,5.68,-71.76,-69.85,160.42,6.95,11,10,26.94,0.34,1847,1.72,4.29,43.66,0.21,53.25
000905,8.49,-72.42,-65.56,197.63,9.75,17,10,30.30,0.42,1679,1.94,4.63,49.75,0.28,55.62
对冲000906,11.79,-59.77,-37.94,88.36,13.62,15,13,16.03,0.78,224,1.03,14.17,44.66,0.74,55.81
对冲000905,8.62,-39.10,-26.00,65.72,10.28,16,10,10.53,0.84,240,0.67,9.52,34.35,0.82,52.73
