x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
全市场,6.73,-28.20,-17.21,82.24,7.84,10,12,11.49,0.62,1237,0.74,3.71,28.87,0.59,54.95
中证500,6.80,-28.35,-22.90,88.32,7.99,10,9,11.51,0.63,1232,0.74,4.83,23.97,0.59,54.02
沪深300,9.41,-20.64,-18.75,77.63,11.27,10,9,10.06,0.94,693,0.64,7.42,30.63,0.94,53.78
中证1000,8.06,-25.39,-15.28,76.79,9.18,14,10,11.71,0.72,1139,0.75,4.37,37.36,0.69,54.54
