x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
,年化收益率(%),最大回撤(%),持有1年最低收益(%),持有1年最高收益(%),持有1年平均收益(%),最大连续上涨天数,最大连续下跌天数,收益波动率(%),夏普比率,最长新高间隔,下跌波动率(%),持有1年收益中位数(%),持有1年收益90%分位数(%),信息比率,胜率(%)
S34增强效果-上证综指-增强前,6.21,-52.30,-45.16,149.98,9.22,11,9,20.99,0.39,422,1.34,5.87,39.80,0.30,53.52
S34增强效果-上证综指-增强前,14.50,-40.19,-34.01,174.93,17.88,10,7,21.83,0.73,1332,1.40,11.91,54.05,0.66,54.95
S34增强效果-上证综指-增强后-增强前,11.55,-17.07,-9.19,47.37,12.44,10,7,10.51,1.09,285,0.67,13.23,23.60,1.10,57.09
S34增强效果-上证50-增强前,7.47,-44.70,-38.51,132.32,11.87,19,9,23.12,0.43,1330,1.48,8.44,38.17,0.32,50.68
S34增强效果-上证50-增强前,10.09,-42.77,-34.42,141.57,14.53,13,9,22.65,0.54,1116,1.45,10.97,42.55,0.45,50.73
S34增强效果-上证50-增强后-增强前,4.39,-5.75,-3.97,12.84,4.70,10,7,5.03,0.88,357,0.32,5.22,8.53,0.87,52.27
S34增强效果-中证500-增强前,9.30,-65.20,-50.23,197.62,12.64,9,7,25.59,0.48,113,1.64,8.96,42.22,0.36,54.96
S34增强效果-中证500-增强前,15.17,-58.02,-41.93,241.57,20.05,10,7,27.01,0.66,104,1.73,13.13,60.99,0.56,55.09
S34增强效果-中证500-增强后-增强前,10.03,-27.74,-18.14,77.67,11.77,11,7,14.08,0.75,506,0.90,9.20,30.56,0.71,55.93
S34增强效果-沪深300-增强前,8.22,-46.70,-42.53,147.77,12.72,12,9,22.54,0.46,1360,1.44,9.11,40.89,0.36,52.45
S34增强效果-沪深300-增强前,14.11,-41.87,-36.67,157.02,18.99,12,9,22.86,0.69,1121,1.46,14.68,50.14,0.62,53.33
S34增强效果-沪深300-增强后-增强前,9.51,-11.56,-9.53,34.58,10.80,11,8,8.11,1.16,284,0.52,10.16,20.85,1.17,55.23
