,index,
0,CHN AU Equity,-1.0
1,CLW AU Equity,-1.0
2,RMS AU Equity,-1.0
3,RSG AU Equity,-1.0
4,TWE AU Equity,-1.0
0,000210 KS Equity,-1.0
1,316140 KS Equity,-1.0
0,NTPC IN Equity,1.0
0,1605 JT Equity,-1.0
1,1803 JT Equity,1.0
2,1963 JT Equity,1.0
3,4208 JT Equity,1.0
4,4578 JT Equity,-1.0
5,5707 JT Equity,-1.0
6,6971 JT Equity,1.0
7,7003 JT Equity,1.0
8,7201 JT Equity,1.0
9,7752 JT Equity,1.0
0,00241 HK Equity,-1.0
1,00688 HK Equity,-1.0
2,00700 HK Equity,-1.0
3,01044 HK Equity,-1.0
4,01093 HK Equity,-1.0
5,01109 HK Equity,-1.0
6,01398 HK Equity,-1.0
7,02007 HK Equity,-1.0
8,02313 HK Equity,-1.0
9,02382 HK Equity,-1.0
10,02628 HK Equity,-1.0
11,03328 HK Equity,-1.0
12,03690 HK Equity,-1.0
13,03968 HK Equity,-1.0
14,03988 HK Equity,-1.0
15,06098 HK Equity,-1.0
0,1605 JT Equity,-1.0
1,1803 JT Equity,1.0
2,1963 JT Equity,1.0
3,4208 JT Equity,1.0
4,4578 JT Equity,-1.0
5,5707 JT Equity,-1.0
6,6971 JT Equity,1.0
7,7003 JT Equity,1.0
8,7201 JT Equity,1.0
9,7752 JT Equity,1.0
0,600000 CH Equity,-1.0
0,000002 CH Equity,-1.0
1,000410 CH Equity,-1.0
2,002063 CH Equity,-1.0
3,002176 CH Equity,-1.0
4,002196 CH Equity,-1.0
5,002296 CH Equity,-1.0
6,002677 CH Equity,1.0
7,002742 CH Equity,-1.0
8,002769 CH Equity,1.0
9,002848 CH Equity,-1.0
10,002996 CH Equity,-1.0
11,003028 CH Equity,-1.0
12,003038 CH Equity,-1.0
13,300244 CH Equity,-1.0
14,300256 CH Equity,-1.0
15,300393 CH Equity,-1.0
16,300436 CH Equity,-1.0
17,300586 CH Equity,-1.0
18,300881 CH Equity,-1.0
19,300888 CH Equity,-1.0
20,301162 CH Equity,-1.0
21,301268 CH Equity,-1.0
22,600022 CH Equity,1.0
23,600100 CH Equity,1.0
24,600170 CH Equity,2.0
25,600309 CH Equity,1.0
26,600366 CH Equity,-1.0
27,600376 CH Equity,-1.0
28,600751 CH Equity,1.0
29,600877 CH Equity,-1.0
30,601005 CH Equity,1.0
31,601100 CH Equity,1.0
32,601107 CH Equity,1.0
33,601398 CH Equity,-1.0
34,601702 CH Equity,-1.0
35,601992 CH Equity,2.0
36,601998 CH Equity,-1.0
37,603035 CH Equity,-1.0
38,603105 CH Equity,-1.0
39,603208 CH Equity,1.0
40,603279 CH Equity,-1.0
41,603393 CH Equity,1.0
42,603408 CH Equity,1.0
43,603612 CH Equity,-1.0
44,603719 CH Equity,1.0
45,603809 CH Equity,-1.0
46,603936 CH Equity,-1.0
47,603968 CH Equity,-1.0
48,603997 CH Equity,-1.0
49,688052 CH Equity,-1.0
50,688077 CH Equity,-1.0
51,688202 CH Equity,-1.0
52,688221 CH Equity,-1.0
