,index,
0,CKF AU Equity,1.0
1,CPU AU Equity,-1.0
2,GNC AU Equity,1.0
3,GUD AU Equity,1.0
0,001440 KS Equity,-1.0
1,079160 KS Equity,-1.0
2,326030 KS Equity,-1.0
3,336260 KS Equity,-1.0
0,4021 JT Equity,2.0
1,4183 JT Equity,-1.0
2,4631 JT Equity,1.0
3,5108 JT Equity,1.0
4,5214 JT Equity,1.0
5,6326 JT Equity,1.0
6,7201 JT Equity,1.0
7,7203 JT Equity,1.0
8,7270 JT Equity,1.0
9,7272 JT Equity,1.0
10,8601 JT Equity,1.0
0,4021 JT Equity,2.0
1,4183 JT Equity,-1.0
2,4631 JT Equity,1.0
3,5108 JT Equity,1.0
4,5214 JT Equity,1.0
5,6326 JT Equity,1.0
6,7201 JT Equity,1.0
7,7203 JT Equity,1.0
8,7270 JT Equity,1.0
9,7272 JT Equity,1.0
10,8601 JT Equity,1.0
0,603288 CH Equity,-1.0
0,000034 CH Equity,1.0
1,000069 CH Equity,-1.0
2,000697 CH Equity,1.0
3,000720 CH Equity,-1.0
4,000826 CH Equity,-1.0
5,000838 CH Equity,-1.0
6,000967 CH Equity,-1.0
7,002012 CH Equity,1.0
8,002026 CH Equity,1.0
9,002028 CH Equity,1.0
10,002100 CH Equity,1.0
11,002134 CH Equity,-1.0
12,002159 CH Equity,1.0
13,002227 CH Equity,1.0
14,002272 CH Equity,1.0
15,002289 CH Equity,1.0
16,002350 CH Equity,1.0
17,002364 CH Equity,1.0
18,002451 CH Equity,1.0
19,002837 CH Equity,-1.0
20,003002 CH Equity,-1.0
21,300125 CH Equity,-1.0
22,300214 CH Equity,-1.0
23,300231 CH Equity,1.0
24,300360 CH Equity,1.0
25,300442 CH Equity,1.0
26,300513 CH Equity,1.0
27,300514 CH Equity,1.0
28,300567 CH Equity,1.0
29,300873 CH Equity,1.0
30,300881 CH Equity,1.0
31,300882 CH Equity,1.0
32,600129 CH Equity,-1.0
33,600131 CH Equity,1.0
34,600212 CH Equity,1.0
35,600306 CH Equity,-1.0
36,600383 CH Equity,-1.0
37,600410 CH Equity,1.0
38,600546 CH Equity,-1.0
39,601118 CH Equity,1.0
40,601163 CH Equity,1.0
41,601339 CH Equity,-1.0
42,601886 CH Equity,-1.0
43,603032 CH Equity,-1.0
44,603196 CH Equity,-1.0
45,603568 CH Equity,1.0
46,603839 CH Equity,-1.0
47,605009 CH Equity,-1.0
48,605555 CH Equity,1.0
49,688063 CH Equity,-1.0
50,688227 CH Equity,1.0
51,688267 CH Equity,-1.0
52,688517 CH Equity,1.0
53,688536 CH Equity,-1.0
54,688579 CH Equity,1.0
55,688628 CH Equity,1.0
