,index,
0,000720 KS Equity,-1.0
1,006360 KS Equity,-1.0
2,006650 KS Equity,-1.0
0,8058 JT Equity,1.0
0,0700 HK Equity,-1.0
1,9988 HK Equity,-1.0
0,00241 HK Equity,-1.0
1,00688 HK Equity,-1.0
2,00700 HK Equity,-1.0
3,01044 HK Equity,-1.0
4,01093 HK Equity,-1.0
5,01109 HK Equity,-1.0
6,01398 HK Equity,-1.0
7,02313 HK Equity,-1.0
8,02318 HK Equity,-1.0
9,03328 HK Equity,-1.0
10,03968 HK Equity,-1.0
11,09988 HK Equity,-1.0
0,8058 JT Equity,1.0
0,000651 CH Equity,-1.0
0,000419 CH Equity,-1.0
1,000498 CH Equity,1.0
2,000505 CH Equity,1.0
3,000513 CH Equity,1.0
4,000544 CH Equity,1.0
5,000610 CH Equity,-1.0
6,000651 CH Equity,-1.0
7,000677 CH Equity,1.0
8,000719 CH Equity,1.0
9,000777 CH Equity,1.0
10,000856 CH Equity,1.0
11,000881 CH Equity,1.0
12,001218 CH Equity,1.0
13,002065 CH Equity,1.0
14,002075 CH Equity,1.0
15,002269 CH Equity,2.0
16,002285 CH Equity,1.0
17,002430 CH Equity,-1.0
18,002444 CH Equity,1.0
19,002457 CH Equity,1.0
20,002544 CH Equity,1.0
21,002570 CH Equity,-1.0
22,002608 CH Equity,1.0
23,002671 CH Equity,1.0
24,002701 CH Equity,1.0
25,002849 CH Equity,1.0
26,002903 CH Equity,1.0
27,003009 CH Equity,1.0
28,003037 CH Equity,1.0
29,300005 CH Equity,1.0
30,300058 CH Equity,1.0
31,300092 CH Equity,1.0
32,300109 CH Equity,1.0
33,300110 CH Equity,1.0
34,300170 CH Equity,1.0
35,300197 CH Equity,1.0
36,300282 CH Equity,1.0
37,300292 CH Equity,1.0
38,300322 CH Equity,1.0
39,300356 CH Equity,-1.0
40,300397 CH Equity,1.0
41,300407 CH Equity,1.0
42,300430 CH Equity,1.0
43,300442 CH Equity,1.0
44,300567 CH Equity,1.0
45,300591 CH Equity,1.0
46,300644 CH Equity,1.0
47,300662 CH Equity,-1.0
48,300664 CH Equity,1.0
49,300669 CH Equity,1.0
50,300727 CH Equity,1.0
51,300862 CH Equity,1.0
52,300875 CH Equity,1.0
53,300958 CH Equity,1.0
54,301030 CH Equity,1.0
55,301081 CH Equity,1.0
56,301118 CH Equity,1.0
57,301167 CH Equity,1.0
58,600023 CH Equity,1.0
59,600060 CH Equity,-1.0
60,600151 CH Equity,1.0
61,600186 CH Equity,2.0
62,600227 CH Equity,1.0
63,600243 CH Equity,1.0
64,600298 CH Equity,-1.0
65,600382 CH Equity,1.0
66,600419 CH Equity,1.0
67,600426 CH Equity,1.0
68,600512 CH Equity,1.0
69,600552 CH Equity,1.0
70,600638 CH Equity,2.0
71,600642 CH Equity,1.0
72,600649 CH Equity,1.0
73,600822 CH Equity,1.0
74,600828 CH Equity,1.0
75,600929 CH Equity,1.0
76,600959 CH Equity,1.0
77,600967 CH Equity,1.0
78,600975 CH Equity,1.0
79,600981 CH Equity,1.0
80,601727 CH Equity,1.0
81,603045 CH Equity,1.0
82,603126 CH Equity,1.0
83,603169 CH Equity,1.0
84,603389 CH Equity,1.0
85,603489 CH Equity,1.0
86,603569 CH Equity,1.0
87,603716 CH Equity,2.0
88,605122 CH Equity,1.0
89,605208 CH Equity,1.0
90,605318 CH Equity,1.0
91,688009 CH Equity,1.0
92,688091 CH Equity,1.0
93,688189 CH Equity,-1.0
94,688248 CH Equity,-1.0
95,688517 CH Equity,1.0
96,688538 CH Equity,-1.0
97,688611 CH Equity,1.0
98,688700 CH Equity,-1.0
