,index,
0,EDV AU Equity,1.0
1,MND AU Equity,1.0
2,SKC AU Equity,-1.0
0,001800 KS Equity,1.0
1,029780 KS Equity,1.0
2,042670 KS Equity,-1.0
3,093370 KS Equity,-1.0
4,097950 KS Equity,1.0
5,139480 KS Equity,-1.0
0,TTAN IN Equity,-1.0
0,1963 JT Equity,1.0
1,2914 JT Equity,1.0
2,7261 JT Equity,1.0
3,8801 JT Equity,1.0
0,01044 HK Equity,-1.0
0,1963 JT Equity,1.0
1,2914 JT Equity,1.0
2,7261 JT Equity,1.0
3,8801 JT Equity,1.0
0,601919 CH Equity,1.0
0,000030 CH Equity,-1.0
1,000338 CH Equity,1.0
2,000416 CH Equity,1.0
3,000518 CH Equity,2.0
4,000557 CH Equity,2.0
5,000617 CH Equity,1.0
6,000619 CH Equity,2.0
7,000669 CH Equity,-1.0
8,000672 CH Equity,1.0
9,000676 CH Equity,1.0
10,000685 CH Equity,1.0
11,000731 CH Equity,1.0
12,000799 CH Equity,-1.0
13,000800 CH Equity,1.0
14,000880 CH Equity,1.0
15,000881 CH Equity,1.0
16,000913 CH Equity,1.0
17,000989 CH Equity,1.0
18,000999 CH Equity,1.0
19,001234 CH Equity,2.0
20,001288 CH Equity,1.0
21,002066 CH Equity,1.0
22,002073 CH Equity,1.0
23,002084 CH Equity,1.0
24,002097 CH Equity,1.0
25,002139 CH Equity,1.0
26,002198 CH Equity,1.0
27,002204 CH Equity,1.0
28,002273 CH Equity,1.0
29,002276 CH Equity,1.0
30,002287 CH Equity,1.0
31,002307 CH Equity,1.0
32,002309 CH Equity,1.0
33,002321 CH Equity,1.0
34,002325 CH Equity,1.0
35,002333 CH Equity,1.0
36,002346 CH Equity,1.0
37,002360 CH Equity,1.0
38,002395 CH Equity,1.0
39,002407 CH Equity,1.0
40,002436 CH Equity,1.0
41,002444 CH Equity,1.0
42,002478 CH Equity,1.0
43,002505 CH Equity,1.0
44,002543 CH Equity,1.0
45,002548 CH Equity,1.0
46,002550 CH Equity,1.0
47,002568 CH Equity,-1.0
48,002573 CH Equity,1.0
49,002579 CH Equity,1.0
50,002596 CH Equity,1.0
51,002630 CH Equity,1.0
52,002693 CH Equity,2.0
53,002695 CH Equity,-1.0
54,002702 CH Equity,-1.0
55,002732 CH Equity,-1.0
56,002833 CH Equity,1.0
57,002881 CH Equity,1.0
58,002884 CH Equity,1.0
59,002967 CH Equity,1.0
60,002976 CH Equity,1.0
61,003019 CH Equity,1.0
62,003020 CH Equity,1.0
63,300008 CH Equity,1.0
64,300016 CH Equity,1.0
65,300119 CH Equity,1.0
66,300121 CH Equity,1.0
67,300153 CH Equity,1.0
68,300162 CH Equity,1.0
69,300185 CH Equity,1.0
70,300196 CH Equity,1.0
71,300224 CH Equity,1.0
72,300252 CH Equity,1.0
73,300257 CH Equity,1.0
74,300258 CH Equity,1.0
75,300267 CH Equity,-1.0
76,300271 CH Equity,1.0
77,300284 CH Equity,2.0
78,300289 CH Equity,1.0
79,300358 CH Equity,1.0
80,300385 CH Equity,1.0
81,300389 CH Equity,1.0
82,300396 CH Equity,1.0
83,300397 CH Equity,1.0
84,300401 CH Equity,1.0
85,300420 CH Equity,1.0
86,300427 CH Equity,1.0
87,300453 CH Equity,1.0
88,300463 CH Equity,2.0
89,300467 CH Equity,1.0
90,300480 CH Equity,1.0
91,300508 CH Equity,1.0
92,300527 CH Equity,1.0
93,300577 CH Equity,2.0
94,300629 CH Equity,1.0
95,300631 CH Equity,1.0
96,300658 CH Equity,1.0
97,300675 CH Equity,1.0
98,300702 CH Equity,1.0
99,300716 CH Equity,1.0
100,300723 CH Equity,1.0
101,300729 CH Equity,1.0
102,300736 CH Equity,-1.0
