,index,
0,000004 CH Equity,1.0
1,000014 CH Equity,1.0
2,000046 CH Equity,1.0
3,000059 CH Equity,1.0
4,000153 CH Equity,1.0
5,000410 CH Equity,1.0
6,000507 CH Equity,1.0
7,000526 CH Equity,1.0
8,000546 CH Equity,1.0
9,000548 CH Equity,1.0
10,000590 CH Equity,1.0
11,000592 CH Equity,1.0
12,000609 CH Equity,1.0
13,000617 CH Equity,1.0
14,000625 CH Equity,1.0
15,000632 CH Equity,1.0
16,000637 CH Equity,1.0
17,000650 CH Equity,1.0
18,000657 CH Equity,1.0
19,000661 CH Equity,1.0
20,000670 CH Equity,1.0
21,000726 CH Equity,1.0
22,000732 CH Equity,1.0
23,000735 CH Equity,1.0
24,000755 CH Equity,1.0
25,000818 CH Equity,1.0
26,000875 CH Equity,1.0
27,000899 CH Equity,1.0
28,000929 CH Equity,1.0
29,000961 CH Equity,1.0
30,000978 CH Equity,-1.0
31,000989 CH Equity,1.0
32,000998 CH Equity,1.0
33,001207 CH Equity,-1.0
34,001210 CH Equity,1.0
35,002041 CH Equity,1.0
36,002052 CH Equity,-1.0
37,002058 CH Equity,1.0
38,002059 CH Equity,-1.0
39,002077 CH Equity,1.0
40,002078 CH Equity,1.0
41,002079 CH Equity,1.0
42,002096 CH Equity,1.0
43,002107 CH Equity,1.0
44,002108 CH Equity,1.0
45,002145 CH Equity,1.0
46,002161 CH Equity,1.0
47,002190 CH Equity,1.0
48,002269 CH Equity,-1.0
49,002275 CH Equity,1.0
50,002276 CH Equity,-1.0
51,002305 CH Equity,1.0
52,002316 CH Equity,1.0
53,002321 CH Equity,-1.0
54,002338 CH Equity,1.0
55,002340 CH Equity,1.0
56,002343 CH Equity,1.0
57,002372 CH Equity,1.0
58,002410 CH Equity,1.0
59,002424 CH Equity,1.0
60,002453 CH Equity,1.0
61,002465 CH Equity,1.0
62,002468 CH Equity,1.0
63,002472 CH Equity,1.0
64,002516 CH Equity,1.0
65,002559 CH Equity,1.0
66,002567 CH Equity,1.0
67,002569 CH Equity,1.0
68,002579 CH Equity,1.0
69,002594 CH Equity,-1.0
70,002627 CH Equity,-1.0
71,002655 CH Equity,1.0
72,002675 CH Equity,1.0
73,002688 CH Equity,1.0
74,002708 CH Equity,1.0
75,002721 CH Equity,-1.0
76,002750 CH Equity,1.0
77,002752 CH Equity,1.0
78,002758 CH Equity,1.0
79,002763 CH Equity,1.0
80,002765 CH Equity,1.0
81,002793 CH Equity,1.0
82,002821 CH Equity,1.0
83,002847 CH Equity,-1.0
84,002848 CH Equity,1.0
85,002852 CH Equity,-1.0
86,002869 CH Equity,1.0
87,002898 CH Equity,1.0
88,002998 CH Equity,1.0
89,003003 CH Equity,1.0
90,003005 CH Equity,1.0
91,003043 CH Equity,1.0
92,300009 CH Equity,1.0
93,300027 CH Equity,1.0
94,300035 CH Equity,1.0
95,300059 CH Equity,1.0
96,300086 CH Equity,1.0
97,300120 CH Equity,1.0
98,300179 CH Equity,1.0
99,300227 CH Equity,1.0
100,300244 CH Equity,1.0
101,300251 CH Equity,1.0
102,300258 CH Equity,1.0
103,300289 CH Equity,1.0
104,300327 CH Equity,1.0
105,300331 CH Equity,1.0
106,300363 CH Equity,1.0
107,300389 CH Equity,-1.0
108,300400 CH Equity,1.0
109,300406 CH Equity,1.0
110,300452 CH Equity,1.0
111,300456 CH Equity,1.0
112,300595 CH Equity,1.0
113,300601 CH Equity,1.0
114,300633 CH Equity,1.0
115,300696 CH Equity,1.0
116,300740 CH Equity,1.0
117,300762 CH Equity,1.0
118,300765 CH Equity,1.0
119,300840 CH Equity,1.0
120,300850 CH Equity,1.0
121,300901 CH Equity,1.0
122,300913 CH Equity,1.0
123,300937 CH Equity,1.0
124,300988 CH Equity,1.0
125,300991 CH Equity,1.0
