,index,
0,000597 CH Equity,-1.0
1,000617 CH Equity,-1.0
2,000915 CH Equity,-1.0
3,001217 CH Equity,-1.0
4,001308 CH Equity,-1.0
5,002203 CH Equity,-1.0
6,002207 CH Equity,1.0
7,002221 CH Equity,1.0
8,002353 CH Equity,1.0
9,002446 CH Equity,-1.0
10,002511 CH Equity,-1.0
11,002561 CH Equity,-1.0
12,002621 CH Equity,-1.0
13,002742 CH Equity,-1.0
14,002828 CH Equity,1.0
15,002900 CH Equity,-1.0
16,002923 CH Equity,-1.0
17,002942 CH Equity,-1.0
18,300034 CH Equity,-1.0
19,300042 CH Equity,-1.0
20,300106 CH Equity,-1.0
21,300297 CH Equity,1.0
22,300309 CH Equity,1.0
23,300343 CH Equity,-1.0
24,300516 CH Equity,-1.0
25,300517 CH Equity,-1.0
26,300593 CH Equity,-1.0
27,300662 CH Equity,-1.0
28,300762 CH Equity,-1.0
29,300801 CH Equity,-1.0
30,300879 CH Equity,-1.0
31,300973 CH Equity,-1.0
32,300996 CH Equity,-1.0
33,300999 CH Equity,-1.0
34,600048 CH Equity,-1.0
35,600056 CH Equity,1.0
36,600077 CH Equity,-1.0
37,600085 CH Equity,-1.0
38,600277 CH Equity,-1.0
39,600387 CH Equity,1.0
40,600429 CH Equity,-1.0
41,600438 CH Equity,-1.0
42,600478 CH Equity,-1.0
43,600547 CH Equity,-1.0
44,600572 CH Equity,1.0
45,600593 CH Equity,-1.0
46,600620 CH Equity,-1.0
47,600638 CH Equity,-1.0
48,600664 CH Equity,-1.0
49,600681 CH Equity,-1.0
50,600706 CH Equity,-1.0
51,600749 CH Equity,-1.0
52,600750 CH Equity,-1.0
53,600775 CH Equity,-1.0
54,600793 CH Equity,-1.0
55,600814 CH Equity,-1.0
56,600838 CH Equity,-1.0
57,600861 CH Equity,-1.0
58,600873 CH Equity,-1.0
59,600875 CH Equity,-1.0
60,600962 CH Equity,-1.0
61,601155 CH Equity,-1.0
62,601595 CH Equity,-1.0
63,603156 CH Equity,-1.0
64,603222 CH Equity,-1.0
65,603317 CH Equity,-1.0
66,603320 CH Equity,-1.0
67,603329 CH Equity,-1.0
68,603589 CH Equity,-1.0
69,603703 CH Equity,-1.0
70,603708 CH Equity,-1.0
71,605108 CH Equity,-1.0
72,605488 CH Equity,-1.0
73,688202 CH Equity,-1.0
74,688310 CH Equity,-1.0
75,688639 CH Equity,-1.0
76,688696 CH Equity,-1.0
