,index,
0,000002 CH Equity,1.0
1,000016 CH Equity,-1.0
2,000036 CH Equity,-1.0
3,000050 CH Equity,-1.0
4,000100 CH Equity,-1.0
5,000158 CH Equity,-1.0
6,000547 CH Equity,-1.0
7,000555 CH Equity,-1.0
8,000564 CH Equity,-1.0
9,000593 CH Equity,-1.0
10,000665 CH Equity,-1.0
11,000671 CH Equity,-1.0
12,000676 CH Equity,-1.0
13,000797 CH Equity,-1.0
14,000823 CH Equity,-1.0
15,000901 CH Equity,-1.0
16,000961 CH Equity,-1.0
17,000965 CH Equity,-1.0
18,001308 CH Equity,-1.0
19,002036 CH Equity,-1.0
20,002047 CH Equity,-1.0
21,002048 CH Equity,-1.0
22,002065 CH Equity,-1.0
23,002106 CH Equity,-1.0
24,002115 CH Equity,-1.0
25,002129 CH Equity,-1.0
26,002135 CH Equity,-1.0
27,002152 CH Equity,-1.0
28,002168 CH Equity,-1.0
29,002194 CH Equity,-1.0
30,002197 CH Equity,-1.0
31,002212 CH Equity,-1.0
32,002256 CH Equity,-1.0
33,002274 CH Equity,1.0
34,002289 CH Equity,-1.0
35,002298 CH Equity,-1.0
36,002314 CH Equity,-1.0
37,002338 CH Equity,-1.0
38,002371 CH Equity,-1.0
39,002373 CH Equity,-1.0
40,002383 CH Equity,-1.0
41,002388 CH Equity,-1.0
42,002395 CH Equity,-1.0
43,002406 CH Equity,-1.0
44,002416 CH Equity,-1.0
45,002425 CH Equity,1.0
46,002456 CH Equity,-1.0
47,002491 CH Equity,-1.0
48,002581 CH Equity,-1.0
49,002583 CH Equity,-1.0
50,002585 CH Equity,-1.0
51,002603 CH Equity,1.0
52,002605 CH Equity,-1.0
53,002611 CH Equity,-1.0
54,002640 CH Equity,-1.0
55,002642 CH Equity,-1.0
56,002657 CH Equity,-1.0
57,002681 CH Equity,-1.0
58,002686 CH Equity,-1.0
59,002694 CH Equity,-1.0
60,002722 CH Equity,1.0
61,002741 CH Equity,-1.0
62,002776 CH Equity,-1.0
63,002851 CH Equity,-1.0
64,002869 CH Equity,-1.0
65,002876 CH Equity,-1.0
66,002885 CH Equity,-1.0
67,002902 CH Equity,-1.0
68,002911 CH Equity,-1.0
69,002922 CH Equity,-1.0
70,002979 CH Equity,-1.0
71,002991 CH Equity,1.0
72,002993 CH Equity,-1.0
73,003008 CH Equity,-1.0
74,003015 CH Equity,-1.0
75,300032 CH Equity,-1.0
76,300048 CH Equity,-1.0
77,300052 CH Equity,-1.0
78,300057 CH Equity,-1.0
79,300085 CH Equity,-1.0
80,300113 CH Equity,-1.0
81,300158 CH Equity,-1.0
82,300166 CH Equity,-1.0
83,300170 CH Equity,-1.0
84,300174 CH Equity,-1.0
85,300177 CH Equity,-1.0
86,300219 CH Equity,-1.0
87,300231 CH Equity,-1.0
88,300232 CH Equity,-1.0
89,300236 CH Equity,-1.0
90,300241 CH Equity,-1.0
91,300259 CH Equity,-1.0
92,300260 CH Equity,-1.0
93,300265 CH Equity,-1.0
94,300271 CH Equity,1.0
95,300286 CH Equity,-1.0
96,300296 CH Equity,-1.0
97,300304 CH Equity,-1.0
98,300310 CH Equity,-1.0
99,300311 CH Equity,-1.0
100,300319 CH Equity,-1.0
101,300333 CH Equity,-1.0
102,300376 CH Equity,-1.0
103,300378 CH Equity,-1.0
104,300379 CH Equity,1.0
105,300381 CH Equity,-1.0
106,300399 CH Equity,-1.0
107,300445 CH Equity,-1.0
108,300455 CH Equity,-1.0
109,300457 CH Equity,-1.0
110,300459 CH Equity,-1.0
111,300494 CH Equity,-1.0
112,300513 CH Equity,-1.0
113,300523 CH Equity,-1.0
114,300545 CH Equity,-1.0
115,300562 CH Equity,-1.0
116,300563 CH Equity,-1.0
117,300577 CH Equity,-1.0
118,300625 CH Equity,-1.0
119,300627 CH Equity,-1.0
120,300655 CH Equity,-1.0
121,300670 CH Equity,-1.0
122,300674 CH Equity,-1.0
123,300708 CH Equity,-1.0
124,300726 CH Equity,-1.0
125,300731 CH Equity,-1.0
126,300738 CH Equity,-1.0
127,300768 CH Equity,-1.0
128,300807 CH Equity,-1.0
129,300820 CH Equity,-1.0
130,300822 CH Equity,-1.0
131,300830 CH Equity,-1.0
132,300836 CH Equity,-1.0
133,300841 CH Equity,-1.0
134,300843 CH Equity,-1.0
135,300846 CH Equity,1.0
136,300870 CH Equity,-1.0
137,300882 CH Equity,-1.0
138,300912 CH Equity,-1.0
139,300913 CH Equity,-1.0
140,300920 CH Equity,-1.0
141,300921 CH Equity,-1.0
142,300930 CH Equity,-1.0
143,300952 CH Equity,-1.0
144,300960 CH Equity,-1.0
145,300963 CH Equity,-1.0
146,300968 CH Equity,-1.0
147,300977 CH Equity,-1.0
148,301018 CH Equity,1.0
149,301041 CH Equity,-1.0
150,301077 CH Equity,1.0
151,301136 CH Equity,-1.0
152,301169 CH Equity,-1.0
153,301180 CH Equity,-1.0
154,301182 CH Equity,-1.0
155,301186 CH Equity,-1.0
156,301213 CH Equity,-1.0
157,600011 CH Equity,-1.0
158,600033 CH Equity,-1.0
