,index,
0,BEN AU Equity,-1.0
1,BPT AU Equity,-1.0
2,CCP AU Equity,-1.0
3,CLW AU Equity,-1.0
4,IGO AU Equity,-1.0
5,MIN AU Equity,-1.0
6,NIC AU Equity,-1.0
7,NUF AU Equity,-1.0
8,WPR AU Equity,-1.0
0,000100 KS Equity,-1.0
1,003090 KS Equity,-1.0
2,004990 KS Equity,-1.0
3,005610 KS Equity,-1.0
4,017800 KS Equity,-1.0
5,032640 KS Equity,-1.0
6,035720 KS Equity,-1.0
7,055550 KS Equity,-1.0
8,086790 KS Equity,-1.0
9,161890 KS Equity,-1.0
10,192080 KS Equity,-1.0
11,214320 KS Equity,-1.0
12,241590 KS Equity,-1.0
13,259960 KS Equity,-1.0
0,DOCU US Equity,-1.0
1,INCY US Equity,-1.0
0,5631 JT Equity,-1.0
1,7012 JT Equity,-1.0
2,8795 JT Equity,-1.0
0,0688 HK Equity,-1.0
1,1044 HK Equity,-1.0
2,2202 HK Equity,-1.0
3,9618 HK Equity,-1.0
0,00001 HK Equity,-1.0
1,00003 HK Equity,-1.0
2,00288 HK Equity,-1.0
3,00688 HK Equity,-1.0
4,00868 HK Equity,-1.0
5,01044 HK Equity,-1.0
6,01928 HK Equity,-1.0
0,5631 JT Equity,-1.0
1,7012 JT Equity,-1.0
2,8795 JT Equity,-1.0
0,002304 CH Equity,-1.0
1,002352 CH Equity,-1.0
2,601166 CH Equity,-1.0
0,000001 CH Equity,-1.0
1,000063 CH Equity,1.0
2,000816 CH Equity,-1.0
3,000892 CH Equity,-1.0
4,002011 CH Equity,-1.0
5,002031 CH Equity,-1.0
6,002041 CH Equity,-1.0
7,002056 CH Equity,-1.0
8,002142 CH Equity,-1.0
9,002149 CH Equity,-1.0
10,002175 CH Equity,-1.0
11,002251 CH Equity,-1.0
12,002265 CH Equity,-1.0
13,002323 CH Equity,-1.0
14,002329 CH Equity,-1.0
15,002374 CH Equity,-1.0
16,002399 CH Equity,-1.0
17,002412 CH Equity,1.0
18,002505 CH Equity,-1.0
19,002703 CH Equity,-1.0
20,002772 CH Equity,-1.0
21,002791 CH Equity,-1.0
22,002897 CH Equity,-1.0
23,002958 CH Equity,1.0
24,002983 CH Equity,-1.0
25,003007 CH Equity,-1.0
26,003013 CH Equity,-1.0
27,003022 CH Equity,-1.0
28,300236 CH Equity,-1.0
29,300279 CH Equity,-1.0
30,300293 CH Equity,-1.0
31,300346 CH Equity,-1.0
32,300452 CH Equity,-1.0
33,300563 CH Equity,1.0
34,300783 CH Equity,-1.0
35,300855 CH Equity,-1.0
36,300896 CH Equity,-1.0
37,300931 CH Equity,-1.0
38,301211 CH Equity,1.0
39,600105 CH Equity,-1.0
40,600207 CH Equity,-1.0
41,600468 CH Equity,-1.0
42,600486 CH Equity,-1.0
43,600513 CH Equity,1.0
44,600758 CH Equity,1.0
45,600887 CH Equity,-1.0
46,601111 CH Equity,-1.0
47,601318 CH Equity,-1.0
48,601702 CH Equity,-1.0
49,601778 CH Equity,-1.0
50,603018 CH Equity,1.0
51,603229 CH Equity,-1.0
52,603256 CH Equity,1.0
53,603477 CH Equity,-1.0
54,603606 CH Equity,-1.0
55,603628 CH Equity,-1.0
56,603633 CH Equity,-1.0
57,603733 CH Equity,-1.0
58,603817 CH Equity,1.0
59,603859 CH Equity,1.0
60,605122 CH Equity,1.0
61,688181 CH Equity,-1.0
62,688189 CH Equity,1.0
63,688310 CH Equity,1.0
64,688566 CH Equity,1.0
65,688596 CH Equity,-1.0
