,index,
0,ALX AU Equity,-1.0
1,APE AU Equity,-1.0
2,CCP AU Equity,1.0
3,FLT AU Equity,1.0
4,JHX AU Equity,1.0
5,MSB AU Equity,1.0
6,NUF AU Equity,-1.0
7,RWC AU Equity,1.0
8,TCL AU Equity,1.0
9,WPR AU Equity,-1.0
0,000120 KS Equity,-1.0
1,000150 KS Equity,-1.0
2,004490 KS Equity,-1.0
3,005300 KS Equity,-1.0
4,006120 KS Equity,1.0
5,028670 KS Equity,1.0
6,336260 KS Equity,2.0
0,INFO IN Equity,1.0
0,4452 JT Equity,-1.0
1,6701 JT Equity,-1.0
2,7261 JT Equity,-1.0
3,7735 JT Equity,1.0
4,9009 JT Equity,-1.0
0,1044 HK Equity,-1.0
0,00241 HK Equity,-1.0
0,4452 JT Equity,-1.0
1,6701 JT Equity,-1.0
2,7261 JT Equity,-1.0
3,7735 JT Equity,1.0
4,9009 JT Equity,-1.0
0,601066 CH Equity,1.0
