,index,
0,CIP AU Equity,-1.0
1,DXS AU Equity,-1.0
2,MGR AU Equity,-1.0
3,PME AU Equity,-1.0
4,SCG AU Equity,-1.0
0,009150 KS Equity,1.0
1,071840 KS Equity,-1.0
0,4502 JT Equity,1.0
0,0386 HK Equity,1.0
1,0941 HK Equity,1.0
2,2328 HK Equity,1.0
3,2331 HK Equity,-1.0
0,00386 HK Equity,1.0
1,00941 HK Equity,1.0
2,02269 HK Equity,-1.0
3,02331 HK Equity,-1.0
0,4502 JT Equity,1.0
0,300750 CH Equity,-1.0
1,600028 CH Equity,1.0
2,601857 CH Equity,1.0
0,000046 CH Equity,-1.0
1,000420 CH Equity,-1.0
2,000428 CH Equity,-1.0
3,000537 CH Equity,-1.0
4,000546 CH Equity,-1.0
5,000637 CH Equity,-1.0
6,000657 CH Equity,-1.0
7,000707 CH Equity,-1.0
8,000863 CH Equity,-1.0
9,002007 CH Equity,-1.0
10,002125 CH Equity,-1.0
11,002145 CH Equity,-1.0
12,002188 CH Equity,-1.0
13,002190 CH Equity,-1.0
14,002192 CH Equity,-1.0
15,002235 CH Equity,-1.0
16,002253 CH Equity,-1.0
17,002271 CH Equity,-1.0
18,002288 CH Equity,-1.0
19,002291 CH Equity,-1.0
20,002309 CH Equity,-1.0
21,002387 CH Equity,-1.0
22,002445 CH Equity,-1.0
23,002459 CH Equity,-1.0
24,002460 CH Equity,-1.0
25,002484 CH Equity,-1.0
26,002554 CH Equity,-1.0
27,002577 CH Equity,-1.0
28,002587 CH Equity,-1.0
29,002595 CH Equity,-1.0
30,002622 CH Equity,-1.0
31,002639 CH Equity,-1.0
32,002640 CH Equity,-1.0
33,002644 CH Equity,1.0
34,002652 CH Equity,-1.0
35,002669 CH Equity,-1.0
36,002692 CH Equity,-1.0
37,002733 CH Equity,-1.0
38,002767 CH Equity,-1.0
39,002851 CH Equity,-1.0
40,002869 CH Equity,-1.0
41,002935 CH Equity,-1.0
42,002951 CH Equity,-1.0
43,002960 CH Equity,-1.0
44,002973 CH Equity,-1.0
45,002988 CH Equity,-1.0
46,002989 CH Equity,-1.0
47,002993 CH Equity,-1.0
48,003008 CH Equity,-1.0
49,003032 CH Equity,-1.0
50,300097 CH Equity,-1.0
51,300117 CH Equity,-1.0
52,300120 CH Equity,-1.0
53,300152 CH Equity,-1.0
54,300157 CH Equity,-1.0
55,300162 CH Equity,-1.0
56,300169 CH Equity,-1.0
57,300191 CH Equity,-1.0
