,index,
0,CSR AU Equity,-1.0
1,DMP AU Equity,1.0
2,EDV AU Equity,1.0
3,JHG AU Equity,-1.0
4,MTS AU Equity,-1.0
5,NHF AU Equity,-1.0
6,PLS AU Equity,-1.0
7,RSG AU Equity,1.0
0,001440 KS Equity,-1.0
1,003000 KS Equity,1.0
2,007570 KS Equity,-1.0
3,055550 KS Equity,2.0
4,064960 KS Equity,-1.0
5,375500 KS Equity,1.0
0,SBILIFE IN Equity,1.0
0,2432 JT Equity,1.0
1,7832 JT Equity,1.0
2,8725 JT Equity,-1.0
3,9001 JT Equity,1.0
4,9007 JT Equity,1.0
5,9022 JT Equity,1.0
6,9503 JT Equity,1.0
0,0384 HK Equity,-1.0
1,0998 HK Equity,1.0
2,2618 HK Equity,-1.0
0,00823 HK Equity,1.0
1,02018 HK Equity,-1.0
0,2432 JT Equity,1.0
1,7832 JT Equity,1.0
2,8725 JT Equity,-1.0
3,9001 JT Equity,1.0
4,9007 JT Equity,1.0
5,9022 JT Equity,1.0
6,9503 JT Equity,1.0
0,002304 CH Equity,-1.0
1,600309 CH Equity,-1.0
0,000005 CH Equity,-1.0
1,000402 CH Equity,-1.0
2,000419 CH Equity,-1.0
3,000519 CH Equity,-1.0
4,000529 CH Equity,-1.0
5,000719 CH Equity,1.0
6,000783 CH Equity,1.0
7,000793 CH Equity,1.0
8,000982 CH Equity,-1.0
9,001210 CH Equity,-1.0
10,001218 CH Equity,-1.0
11,001319 CH Equity,-1.0
12,002036 CH Equity,-1.0
13,002060 CH Equity,-1.0
14,002086 CH Equity,-1.0
15,002095 CH Equity,1.0
16,002182 CH Equity,-1.0
17,002418 CH Equity,-1.0
18,002455 CH Equity,-1.0
19,002489 CH Equity,-1.0
20,002506 CH Equity,-1.0
21,002514 CH Equity,-1.0
22,002531 CH Equity,-1.0
23,002547 CH Equity,-1.0
24,002576 CH Equity,-1.0
25,002669 CH Equity,-1.0
26,002739 CH Equity,1.0
27,002828 CH Equity,-1.0
28,002830 CH Equity,-1.0
29,002835 CH Equity,-1.0
30,002858 CH Equity,1.0
31,002884 CH Equity,-1.0
32,002905 CH Equity,1.0
33,002968 CH Equity,-1.0
34,003002 CH Equity,-1.0
35,003041 CH Equity,-1.0
36,300042 CH Equity,1.0
37,300066 CH Equity,-1.0
38,300069 CH Equity,-1.0
39,300121 CH Equity,-1.0
40,300133 CH Equity,1.0
41,300182 CH Equity,1.0
42,300206 CH Equity,1.0
43,300222 CH Equity,-1.0
44,300251 CH Equity,1.0
45,300254 CH Equity,-1.0
46,300255 CH Equity,-1.0
47,300289 CH Equity,-1.0
48,300315 CH Equity,1.0
49,300342 CH Equity,-1.0
50,300355 CH Equity,-1.0
51,300364 CH Equity,1.0
52,300504 CH Equity,1.0
53,300510 CH Equity,-1.0
54,300511 CH Equity,-1.0
55,300565 CH Equity,-1.0
56,300660 CH Equity,-1.0
57,300741 CH Equity,-1.0
58,300787 CH Equity,1.0
59,300821 CH Equity,-1.0
60,300831 CH Equity,-1.0
61,300991 CH Equity,-1.0
62,300992 CH Equity,-1.0
63,301002 CH Equity,-1.0
64,301023 CH Equity,-1.0
65,301025 CH Equity,1.0
66,301051 CH Equity,-1.0
67,301101 CH Equity,-1.0
68,301119 CH Equity,-1.0
69,301130 CH Equity,-1.0
70,301196 CH Equity,-1.0
71,600025 CH Equity,-1.0
72,600075 CH Equity,-1.0
73,600081 CH Equity,-1.0
74,600109 CH Equity,1.0
75,600141 CH Equity,-1.0
76,600215 CH Equity,-1.0
77,600321 CH Equity,-1.0
78,600373 CH Equity,1.0
79,600426 CH Equity,-1.0
80,600461 CH Equity,-1.0
81,600608 CH Equity,-1.0
82,600653 CH Equity,-1.0
83,600655 CH Equity,1.0
84,600727 CH Equity,-1.0
85,600745 CH Equity,-1.0
86,600766 CH Equity,2.0
87,600844 CH Equity,1.0
88,601007 CH Equity,-1.0
89,601828 CH Equity,-1.0
90,601858 CH Equity,1.0
91,601996 CH Equity,-1.0
92,603001 CH Equity,-1.0
93,603011 CH Equity,-1.0
94,603020 CH Equity,-1.0
95,603077 CH Equity,-1.0
96,603089 CH Equity,-1.0
97,603103 CH Equity,1.0
98,603166 CH Equity,-1.0
99,603317 CH Equity,-1.0
100,603321 CH Equity,-1.0
101,603335 CH Equity,-1.0
102,603345 CH Equity,-1.0
103,603701 CH Equity,-1.0
104,603737 CH Equity,-1.0
105,603822 CH Equity,-1.0
106,603880 CH Equity,-1.0
107,603882 CH Equity,1.0
108,603993 CH Equity,1.0
109,605050 CH Equity,-1.0
110,605089 CH Equity,-1.0
111,605259 CH Equity,-1.0
112,605500 CH Equity,-1.0
113,688050 CH Equity,-1.0
114,688087 CH Equity,-1.0
115,688299 CH Equity,-1.0
116,688520 CH Equity,-1.0
117,688659 CH Equity,-1.0
118,688768 CH Equity,-1.0
