,index,
0,001040 KS Equity,-1.0
1,003490 KS Equity,-1.0
0,8830 JT Equity,-1.0
0,2202 HK Equity,-1.0
1,3328 HK Equity,-1.0
2,6098 HK Equity,-1.0
0,00002 HK Equity,-1.0
1,03328 HK Equity,-1.0
2,06098 HK Equity,-1.0
0,8830 JT Equity,-1.0
0,601919 CH Equity,1.0
0,000504 CH Equity,-1.0
1,000509 CH Equity,-1.0
2,000518 CH Equity,-1.0
3,000667 CH Equity,-1.0
4,000978 CH Equity,-1.0
5,001207 CH Equity,1.0
6,001914 CH Equity,-1.0
7,002040 CH Equity,-1.0
8,002052 CH Equity,-1.0
9,002059 CH Equity,1.0
10,002087 CH Equity,-1.0
11,002269 CH Equity,-1.0
12,002276 CH Equity,1.0
13,002321 CH Equity,1.0
14,002374 CH Equity,-1.0
15,002467 CH Equity,-1.0
16,002524 CH Equity,-1.0
17,002564 CH Equity,-1.0
18,002594 CH Equity,-1.0
19,002627 CH Equity,1.0
20,002640 CH Equity,-1.0
21,002721 CH Equity,-1.0
22,002847 CH Equity,1.0
23,002852 CH Equity,-1.0
24,002939 CH Equity,-1.0
25,002972 CH Equity,-1.0
26,003007 CH Equity,-1.0
27,003013 CH Equity,-1.0
28,300389 CH Equity,1.0
29,300528 CH Equity,-1.0
30,301073 CH Equity,1.0
31,301087 CH Equity,1.0
32,301206 CH Equity,-1.0
33,600029 CH Equity,1.0
34,600125 CH Equity,-1.0
35,600272 CH Equity,1.0
36,600277 CH Equity,1.0
37,600325 CH Equity,2.0
38,600609 CH Equity,-1.0
39,600626 CH Equity,-1.0
40,600858 CH Equity,-1.0
41,603055 CH Equity,-1.0
42,603086 CH Equity,1.0
43,603199 CH Equity,-1.0
44,603333 CH Equity,1.0
45,603508 CH Equity,-1.0
46,603556 CH Equity,1.0
47,603867 CH Equity,1.0
48,605060 CH Equity,-1.0
49,605388 CH Equity,1.0
50,688281 CH Equity,-1.0
51,688386 CH Equity,-1.0
