,index,
0,000419 CH Equity,-1.0
1,000498 CH Equity,-1.0
2,000505 CH Equity,-1.0
3,000513 CH Equity,-1.0
4,000544 CH Equity,-1.0
5,000651 CH Equity,-1.0
6,000677 CH Equity,-1.0
7,000719 CH Equity,-1.0
8,000777 CH Equity,-1.0
9,000856 CH Equity,-1.0
10,000881 CH Equity,-1.0
11,001202 CH Equity,1.0
12,001218 CH Equity,-1.0
13,002065 CH Equity,-1.0
14,002075 CH Equity,-1.0
15,002151 CH Equity,1.0
16,002194 CH Equity,1.0
17,002229 CH Equity,1.0
18,002285 CH Equity,-1.0
19,002298 CH Equity,1.0
20,002336 CH Equity,1.0
21,002339 CH Equity,1.0
22,002399 CH Equity,1.0
23,002430 CH Equity,-1.0
24,002444 CH Equity,-1.0
25,002457 CH Equity,-1.0
26,002465 CH Equity,1.0
27,002480 CH Equity,1.0
28,002535 CH Equity,1.0
29,002544 CH Equity,-1.0
30,002570 CH Equity,-1.0
31,002576 CH Equity,1.0
32,002608 CH Equity,-1.0
33,002649 CH Equity,1.0
34,002671 CH Equity,-1.0
35,002701 CH Equity,-1.0
36,002810 CH Equity,1.0
37,002812 CH Equity,1.0
38,002849 CH Equity,-1.0
39,002897 CH Equity,1.0
40,002903 CH Equity,-1.0
41,002984 CH Equity,1.0
42,003009 CH Equity,-1.0
43,003037 CH Equity,-1.0
44,300005 CH Equity,-1.0
45,300053 CH Equity,1.0
46,300058 CH Equity,-1.0
47,300092 CH Equity,-1.0
48,300106 CH Equity,1.0
49,300109 CH Equity,-1.0
50,300110 CH Equity,-1.0
51,300170 CH Equity,-1.0
52,300197 CH Equity,-1.0
53,300238 CH Equity,1.0
54,300271 CH Equity,1.0
55,300282 CH Equity,-1.0
56,300292 CH Equity,-1.0
57,300322 CH Equity,-1.0
58,300323 CH Equity,1.0
59,300353 CH Equity,1.0
60,300356 CH Equity,-1.0
61,300397 CH Equity,-1.0
62,300407 CH Equity,-1.0
63,300430 CH Equity,-1.0
64,300439 CH Equity,1.0
65,300442 CH Equity,-1.0
66,300537 CH Equity,1.0
67,300567 CH Equity,-1.0
68,300591 CH Equity,-1.0
69,300644 CH Equity,-1.0
70,300664 CH Equity,-1.0
71,300669 CH Equity,-1.0
72,300673 CH Equity,1.0
73,300727 CH Equity,-1.0
74,300741 CH Equity,1.0
75,300759 CH Equity,1.0
76,300862 CH Equity,-1.0
77,300868 CH Equity,1.0
78,300875 CH Equity,-1.0
79,300877 CH Equity,1.0
80,300947 CH Equity,1.0
81,300958 CH Equity,-1.0
82,300989 CH Equity,1.0
83,301028 CH Equity,1.0
84,301030 CH Equity,-1.0
85,301061 CH Equity,1.0
86,301077 CH Equity,1.0
87,301081 CH Equity,-1.0
88,301113 CH Equity,1.0
89,301118 CH Equity,-1.0
90,301167 CH Equity,-1.0
91,600023 CH Equity,-1.0
92,600052 CH Equity,1.0
93,600060 CH Equity,-1.0
94,600072 CH Equity,1.0
95,600103 CH Equity,1.0
96,600151 CH Equity,-1.0
97,600227 CH Equity,-1.0
98,600243 CH Equity,-1.0
99,600298 CH Equity,-1.0
100,600300 CH Equity,1.0
101,600382 CH Equity,-1.0
102,600419 CH Equity,-1.0
103,600426 CH Equity,-1.0
104,600512 CH Equity,-1.0
105,600551 CH Equity,1.0
106,600552 CH Equity,-1.0
107,600563 CH Equity,1.0
108,600642 CH Equity,-1.0
109,600649 CH Equity,-1.0
110,600718 CH Equity,1.0
111,600822 CH Equity,-1.0
112,600828 CH Equity,-1.0
113,600929 CH Equity,-1.0
114,600959 CH Equity,-1.0
115,600967 CH Equity,-1.0
116,600975 CH Equity,-1.0
117,600981 CH Equity,-1.0
118,601199 CH Equity,1.0
119,601727 CH Equity,-1.0
120,601789 CH Equity,1.0
121,603001 CH Equity,1.0
122,603008 CH Equity,1.0
123,603045 CH Equity,-1.0
124,603083 CH Equity,1.0
125,603116 CH Equity,1.0
126,603126 CH Equity,-1.0
127,603129 CH Equity,1.0
128,603169 CH Equity,-1.0
129,603389 CH Equity,-1.0
130,603489 CH Equity,-1.0
131,603520 CH Equity,1.0
132,603569 CH Equity,-1.0
133,603616 CH Equity,1.0
134,603703 CH Equity,1.0
135,603726 CH Equity,1.0
136,603822 CH Equity,1.0
137,603869 CH Equity,1.0
138,603956 CH Equity,1.0
139,605080 CH Equity,1.0
140,605122 CH Equity,-1.0
141,605158 CH Equity,1.0
142,605208 CH Equity,-1.0
143,605318 CH Equity,-1.0
144,605339 CH Equity,1.0
145,688009 CH Equity,-1.0
146,688030 CH Equity,1.0
147,688091 CH Equity,-1.0
148,688099 CH Equity,1.0
149,688159 CH Equity,1.0
150,688189 CH Equity,-1.0
151,688296 CH Equity,1.0
152,688350 CH Equity,1.0
153,688517 CH Equity,-1.0
154,688558 CH Equity,1.0
155,688568 CH Equity,1.0
156,688609 CH Equity,1.0
157,688611 CH Equity,-1.0
