,index,
0,ANN AU Equity,-1.0
1,CNU AU Equity,1.0
2,DXS AU Equity,1.0
0,000100 KS Equity,-1.0
1,000240 KS Equity,1.0
2,000990 KS Equity,1.0
3,002380 KS Equity,1.0
4,004000 KS Equity,1.0
5,004490 KS Equity,1.0
6,005180 KS Equity,1.0
7,006120 KS Equity,1.0
8,008350 KS Equity,1.0
9,111770 KS Equity,1.0
10,139480 KS Equity,-1.0
11,207940 KS Equity,-1.0
0,2413 JT Equity,1.0
1,2501 JT Equity,1.0
2,2503 JT Equity,1.0
3,5108 JT Equity,1.0
4,7202 JT Equity,1.0
5,7832 JT Equity,1.0
6,8697 JT Equity,1.0
7,8804 JT Equity,1.0
0,2413 JT Equity,1.0
1,2501 JT Equity,1.0
2,2503 JT Equity,1.0
3,5108 JT Equity,1.0
4,7202 JT Equity,1.0
5,7832 JT Equity,1.0
6,8697 JT Equity,1.0
7,8804 JT Equity,1.0
0,601633 CH Equity,1.0
0,000301 CH Equity,1.0
1,000507 CH Equity,-1.0
2,000519 CH Equity,1.0
3,000557 CH Equity,-1.0
4,000626 CH Equity,1.0
5,000668 CH Equity,1.0
6,000707 CH Equity,1.0
7,000767 CH Equity,1.0
8,000788 CH Equity,1.0
9,000792 CH Equity,1.0
10,000822 CH Equity,1.0
11,000898 CH Equity,1.0
12,000922 CH Equity,1.0
13,000932 CH Equity,1.0
14,002026 CH Equity,1.0
15,002034 CH Equity,1.0
16,002112 CH Equity,1.0
17,002135 CH Equity,2.0
18,002169 CH Equity,1.0
19,002207 CH Equity,1.0
20,002225 CH Equity,1.0
21,002246 CH Equity,1.0
22,002249 CH Equity,1.0
23,002255 CH Equity,1.0
24,002266 CH Equity,1.0
25,002274 CH Equity,1.0
26,002311 CH Equity,-1.0
27,002382 CH Equity,1.0
28,002384 CH Equity,1.0
29,002386 CH Equity,1.0
30,002402 CH Equity,1.0
31,002429 CH Equity,1.0
32,002443 CH Equity,1.0
33,002451 CH Equity,1.0
34,002488 CH Equity,1.0
35,002489 CH Equity,1.0
36,002519 CH Equity,1.0
37,002591 CH Equity,-1.0
38,002606 CH Equity,1.0
39,002608 CH Equity,1.0
40,002622 CH Equity,2.0
41,002641 CH Equity,1.0
42,002688 CH Equity,1.0
43,002713 CH Equity,1.0
44,002750 CH Equity,-1.0
45,002752 CH Equity,1.0
46,002761 CH Equity,1.0
47,002783 CH Equity,1.0
48,002864 CH Equity,-1.0
49,002879 CH Equity,1.0
50,002898 CH Equity,-1.0
51,002901 CH Equity,1.0
52,002917 CH Equity,1.0
53,002956 CH Equity,-1.0
54,002966 CH Equity,-1.0
55,300001 CH Equity,1.0
56,300018 CH Equity,1.0
57,300026 CH Equity,1.0
58,300040 CH Equity,1.0
59,300062 CH Equity,1.0
60,300109 CH Equity,1.0
61,300141 CH Equity,1.0
62,300157 CH Equity,1.0
63,300165 CH Equity,1.0
64,300181 CH Equity,1.0
65,300201 CH Equity,-1.0
66,300209 CH Equity,1.0
67,300233 CH Equity,1.0
68,300435 CH Equity,1.0
69,300461 CH Equity,1.0
70,300471 CH Equity,1.0
71,300493 CH Equity,1.0
72,300518 CH Equity,-1.0
73,300541 CH Equity,1.0
74,300564 CH Equity,1.0
75,300583 CH Equity,1.0
76,300635 CH Equity,1.0
77,300643 CH Equity,1.0
