,index,
0,APA AU Equity,1.0
1,BEN AU Equity,-1.0
2,DOW AU Equity,1.0
0,016380 KS Equity,1.0
0,4021 JT Equity,-1.0
1,4043 JT Equity,1.0
2,4543 JT Equity,-1.0
3,5101 JT Equity,1.0
4,5232 JT Equity,1.0
5,5333 JT Equity,1.0
6,6471 JT Equity,1.0
7,7201 JT Equity,1.0
8,7211 JT Equity,2.0
9,7752 JT Equity,2.0
10,8601 JT Equity,1.0
0,1177 HK Equity,-1.0
0,00968 HK Equity,-1.0
1,01177 HK Equity,-1.0
0,4021 JT Equity,-1.0
1,4043 JT Equity,1.0
2,4543 JT Equity,-1.0
3,5101 JT Equity,1.0
4,5232 JT Equity,1.0
5,5333 JT Equity,1.0
6,6471 JT Equity,1.0
7,7201 JT Equity,1.0
8,7211 JT Equity,2.0
9,7752 JT Equity,2.0
10,8601 JT Equity,1.0
0,000016 CH Equity,1.0
1,000036 CH Equity,-1.0
2,000050 CH Equity,1.0
3,000100 CH Equity,1.0
4,000158 CH Equity,1.0
5,000547 CH Equity,1.0
6,000555 CH Equity,1.0
7,000564 CH Equity,-1.0
8,000593 CH Equity,-1.0
9,000665 CH Equity,1.0
10,000671 CH Equity,-1.0
11,000676 CH Equity,1.0
12,000797 CH Equity,-1.0
13,000823 CH Equity,1.0
14,000901 CH Equity,1.0
15,000961 CH Equity,-1.0
16,000965 CH Equity,-1.0
17,001308 CH Equity,1.0
18,002036 CH Equity,1.0
19,002047 CH Equity,-1.0
20,002048 CH Equity,1.0
21,002065 CH Equity,1.0
22,002106 CH Equity,1.0
23,002115 CH Equity,1.0
24,002129 CH Equity,1.0
25,002135 CH Equity,-1.0
26,002152 CH Equity,1.0
27,002168 CH Equity,1.0
28,002194 CH Equity,1.0
29,002197 CH Equity,1.0
30,002212 CH Equity,1.0
31,002256 CH Equity,1.0
32,002289 CH Equity,1.0
33,002298 CH Equity,1.0
34,002310 CH Equity,2.0
35,002314 CH Equity,-1.0
36,002338 CH Equity,1.0
37,002371 CH Equity,1.0
38,002373 CH Equity,1.0
39,002383 CH Equity,1.0
40,002388 CH Equity,1.0
41,002395 CH Equity,1.0
42,002406 CH Equity,1.0
43,002416 CH Equity,1.0
44,002456 CH Equity,1.0
45,002491 CH Equity,1.0
46,002581 CH Equity,-1.0
47,002583 CH Equity,1.0
48,002585 CH Equity,1.0
49,002605 CH Equity,1.0
50,002611 CH Equity,1.0
51,002640 CH Equity,-1.0
52,002642 CH Equity,1.0
53,002657 CH Equity,1.0
54,002681 CH Equity,1.0
55,002686 CH Equity,1.0
56,002694 CH Equity,1.0
57,002741 CH Equity,1.0
58,002776 CH Equity,-1.0
59,002851 CH Equity,1.0
60,002869 CH Equity,-1.0
61,002876 CH Equity,1.0
62,002885 CH Equity,1.0
63,002902 CH Equity,1.0
64,002911 CH Equity,-1.0
65,002922 CH Equity,1.0
66,002979 CH Equity,1.0
67,002993 CH Equity,1.0
68,003008 CH Equity,1.0
69,003015 CH Equity,1.0
70,300032 CH Equity,1.0
71,300048 CH Equity,1.0
72,300052 CH Equity,1.0
73,300057 CH Equity,1.0
74,300085 CH Equity,1.0
75,300113 CH Equity,1.0
76,300158 CH Equity,-1.0
77,300166 CH Equity,1.0
78,300170 CH Equity,1.0
