,index,
0,AMC AU Equity,-1.0
1,LYC AU Equity,1.0
2,NST AU Equity,1.0
0,002790 KS Equity,1.0
1,115390 KS Equity,1.0
0,MNST US Equity,-1.0
0,5706 JT Equity,1.0
1,5713 JT Equity,1.0
2,9202 JT Equity,-1.0
0,0270 HK Equity,1.0
1,0291 HK Equity,1.0
2,0728 HK Equity,1.0
3,0914 HK Equity,1.0
4,0939 HK Equity,1.0
5,1288 HK Equity,1.0
6,2318 HK Equity,1.0
7,3988 HK Equity,1.0
0,00939 HK Equity,1.0
1,00968 HK Equity,1.0
2,02318 HK Equity,1.0
3,03988 HK Equity,1.0
0,5706 JT Equity,1.0
1,5713 JT Equity,1.0
2,9202 JT Equity,-1.0
0,000059 CH Equity,-1.0
1,000090 CH Equity,-1.0
2,000155 CH Equity,-1.0
3,000401 CH Equity,-1.0
4,000408 CH Equity,-1.0
5,000506 CH Equity,-1.0
6,000534 CH Equity,-1.0
7,000552 CH Equity,-1.0
8,000565 CH Equity,1.0
9,000625 CH Equity,1.0
10,000708 CH Equity,1.0
11,000726 CH Equity,-1.0
12,000737 CH Equity,1.0
13,000762 CH Equity,1.0
14,000789 CH Equity,-1.0
15,000795 CH Equity,1.0
16,000807 CH Equity,1.0
17,000831 CH Equity,1.0
18,000851 CH Equity,-1.0
19,000877 CH Equity,-1.0
20,000905 CH Equity,-1.0
21,000927 CH Equity,-1.0
22,000937 CH Equity,-1.0
23,000966 CH Equity,1.0
24,000970 CH Equity,1.0
25,001213 CH Equity,-1.0
26,001872 CH Equity,-1.0
27,002057 CH Equity,1.0
28,002066 CH Equity,-1.0
29,002091 CH Equity,1.0
30,002093 CH Equity,1.0
31,002110 CH Equity,-1.0
32,002117 CH Equity,1.0
33,002154 CH Equity,1.0
34,002176 CH Equity,-1.0
35,002198 CH Equity,1.0
36,002200 CH Equity,-1.0
37,002211 CH Equity,-1.0
38,002226 CH Equity,1.0
39,002237 CH Equity,1.0
40,002240 CH Equity,-1.0
41,002250 CH Equity,1.0
42,002263 CH Equity,1.0
43,002276 CH Equity,1.0
44,002308 CH Equity,1.0
45,002360 CH Equity,1.0
46,002367 CH Equity,-1.0
47,002375 CH Equity,-1.0
48,002392 CH Equity,-1.0
49,002438 CH Equity,-1.0
50,002452 CH Equity,1.0
51,002460 CH Equity,-1.0
52,002466 CH Equity,-1.0
53,002472 CH Equity,1.0
54,002501 CH Equity,-1.0
55,002523 CH Equity,-1.0
56,002543 CH Equity,2.0
57,002620 CH Equity,2.0
58,002641 CH Equity,1.0
59,002679 CH Equity,1.0
60,002733 CH Equity,1.0
61,002738 CH Equity,1.0
62,002743 CH Equity,-1.0
63,002789 CH Equity,2.0
64,002810 CH Equity,1.0
65,002825 CH Equity,1.0
66,002835 CH Equity,-1.0
67,002893 CH Equity,-1.0
68,002909 CH Equity,1.0
69,002941 CH Equity,-1.0
70,300040 CH Equity,1.0
71,300061 CH Equity,1.0
72,300062 CH Equity,2.0
73,300112 CH Equity,-1.0
74,300121 CH Equity,1.0
75,300139 CH Equity,-1.0
76,300141 CH Equity,1.0
77,300224 CH Equity,1.0
78,300265 CH Equity,1.0
79,300274 CH Equity,1.0
80,300334 CH Equity,-1.0
81,300348 CH Equity,-1.0
82,300384 CH Equity,1.0
83,300387 CH Equity,-1.0
84,300390 CH Equity,2.0
85,300403 CH Equity,2.0
86,300417 CH Equity,-1.0
87,300473 CH Equity,1.0
88,300523 CH Equity,-1.0
89,300607 CH Equity,-1.0
90,300615 CH Equity,-1.0
91,300618 CH Equity,-1.0
92,300635 CH Equity,-1.0
93,300652 CH Equity,1.0
94,300660 CH Equity,1.0
95,300664 CH Equity,-1.0
96,300692 CH Equity,-1.0
97,300741 CH Equity,-1.0
98,300769 CH Equity,1.0
99,300772 CH Equity,1.0
100,300830 CH Equity,1.0
101,300871 CH Equity,-1.0
102,300919 CH Equity,-1.0
103,300927 CH Equity,1.0
104,300932 CH Equity,2.0
105,300946 CH Equity,1.0
106,300950 CH Equity,1.0
107,301022 CH Equity,1.0
108,301052 CH Equity,1.0
109,301098 CH Equity,-1.0
110,301167 CH Equity,-1.0
111,301196 CH Equity,-1.0
112,301229 CH Equity,2.0
113,600032 CH Equity,1.0
114,600050 CH Equity,-1.0
115,600071 CH Equity,-1.0
116,600078 CH Equity,-1.0
117,600089 CH Equity,1.0
118,600114 CH Equity,1.0
119,600173 CH Equity,-1.0
120,600180 CH Equity,-1.0
121,600188 CH Equity,1.0
122,600202 CH Equity,1.0
123,600252 CH Equity,-1.0
124,600297 CH Equity,-1.0
125,600312 CH Equity,1.0
126,600326 CH Equity,-1.0
127,600328 CH Equity,-1.0
128,600339 CH Equity,-1.0
129,600392 CH Equity,1.0
130,600446 CH Equity,1.0
131,600468 CH Equity,1.0
132,600475 CH Equity,2.0
133,600489 CH Equity,1.0
134,600545 CH Equity,-1.0
135,600580 CH Equity,1.0
136,600581 CH Equity,-1.0
137,600639 CH Equity,-1.0
138,600651 CH Equity,-1.0
139,600653 CH Equity,-1.0
140,600725 CH Equity,-1.0
141,600727 CH Equity,1.0
142,600746 CH Equity,-1.0
143,600758 CH Equity,-1.0
144,600768 CH Equity,-1.0
145,600782 CH Equity,-1.0
146,600792 CH Equity,-1.0
147,600935 CH Equity,-1.0
148,600939 CH Equity,-1.0
149,600941 CH Equity,1.0
150,600986 CH Equity,1.0
151,600988 CH Equity,1.0
152,601001 CH Equity,-1.0
153,601005 CH Equity,-1.0
154,601008 CH Equity,-1.0
155,601011 CH Equity,-1.0
156,601068 CH Equity,-1.0
157,601186 CH Equity,-1.0
158,601326 CH Equity,-1.0
159,601390 CH Equity,-1.0
160,601512 CH Equity,-1.0
161,601515 CH Equity,-1.0
162,601598 CH Equity,-1.0
163,601658 CH Equity,1.0
164,601700 CH Equity,1.0
165,601702 CH Equity,1.0
166,601800 CH Equity,-1.0
167,601827 CH Equity,-1.0
168,603010 CH Equity,-1.0
169,603015 CH Equity,2.0
170,603033 CH Equity,-1.0
171,603080 CH Equity,1.0
172,603103 CH Equity,-1.0
173,603220 CH Equity,1.0
174,603299 CH Equity,-1.0
175,603489 CH Equity,1.0
176,603505 CH Equity,-1.0
177,603533 CH Equity,1.0
178,603577 CH Equity,1.0
