,index,
0,ABC AU Equity,-1.0
1,BKW AU Equity,-1.0
2,CNI AU Equity,-1.0
3,EVN AU Equity,1.0
4,IPH AU Equity,-1.0
5,NEC AU Equity,1.0
6,NST AU Equity,1.0
7,PMV AU Equity,1.0
8,PNV AU Equity,-1.0
9,WGX AU Equity,1.0
0,000120 KS Equity,-1.0
1,001060 KS Equity,1.0
2,001120 KS Equity,-1.0
3,003520 KS Equity,-1.0
4,028260 KS Equity,-1.0
5,086790 KS Equity,-1.0
6,298020 KS Equity,-1.0
7,316140 KS Equity,-1.0
0,2002 JT Equity,1.0
1,2801 JT Equity,1.0
2,4324 JT Equity,1.0
3,6501 JT Equity,1.0
4,7003 JT Equity,1.0
5,8233 JT Equity,1.0
0,0175 HK Equity,2.0
1,0981 HK Equity,1.0
2,1988 HK Equity,-1.0
3,9999 HK Equity,1.0
0,00175 HK Equity,2.0
1,00868 HK Equity,-1.0
0,2002 JT Equity,1.0
1,2801 JT Equity,1.0
2,4324 JT Equity,1.0
3,6501 JT Equity,1.0
4,7003 JT Equity,1.0
5,8233 JT Equity,1.0
0,600031 CH Equity,-1.0
1,601166 CH Equity,1.0
0,000019 CH Equity,-1.0
1,000040 CH Equity,-1.0
2,000157 CH Equity,-1.0
3,000410 CH Equity,-1.0
4,000422 CH Equity,-1.0
5,000558 CH Equity,-1.0
6,000622 CH Equity,-1.0
7,000680 CH Equity,-1.0
8,000702 CH Equity,-1.0
9,000762 CH Equity,-1.0
10,000819 CH Equity,-1.0
11,000888 CH Equity,1.0
12,000912 CH Equity,-1.0
13,000962 CH Equity,-1.0
14,000978 CH Equity,1.0
15,001319 CH Equity,-1.0
16,002076 CH Equity,1.0
17,002119 CH Equity,-1.0
18,002150 CH Equity,-1.0
19,002167 CH Equity,-1.0
20,002180 CH Equity,-1.0
21,002234 CH Equity,-1.0
22,002312 CH Equity,-1.0
23,002341 CH Equity,-1.0
24,002346 CH Equity,-1.0
25,002386 CH Equity,-1.0
26,002413 CH Equity,-1.0
27,002476 CH Equity,1.0
28,002508 CH Equity,-1.0
29,002632 CH Equity,-1.0
30,002669 CH Equity,-1.0
31,002685 CH Equity,-1.0
32,002705 CH Equity,-1.0
33,002724 CH Equity,-1.0
34,002790 CH Equity,-1.0
35,002796 CH Equity,-1.0
36,002853 CH Equity,-1.0
37,002870 CH Equity,-1.0
38,002881 CH Equity,1.0
39,002885 CH Equity,-1.0
40,002892 CH Equity,-1.0
41,002897 CH Equity,-1.0
42,002915 CH Equity,-1.0
43,002982 CH Equity,-1.0
44,300008 CH Equity,-1.0
45,300016 CH Equity,1.0
46,300019 CH Equity,-1.0
47,300140 CH Equity,-1.0
48,300143 CH Equity,2.0
49,300261 CH Equity,-1.0
50,300263 CH Equity,-1.0
51,300319 CH Equity,-1.0
52,300354 CH Equity,-1.0
53,300370 CH Equity,1.0
54,300382 CH Equity,-1.0
55,300386 CH Equity,1.0
56,300396 CH Equity,-1.0
57,300397 CH Equity,-1.0
58,300482 CH Equity,-1.0
59,300510 CH Equity,-1.0
60,300564 CH Equity,-1.0
61,300668 CH Equity,-1.0
62,300719 CH Equity,-1.0
63,300751 CH Equity,-1.0
64,300758 CH Equity,-1.0
65,300778 CH Equity,-1.0
66,300783 CH Equity,2.0
67,300817 CH Equity,-1.0
68,300849 CH Equity,-1.0
69,300873 CH Equity,-1.0
70,300940 CH Equity,-1.0
71,300962 CH Equity,-1.0
72,300983 CH Equity,-1.0
73,301009 CH Equity,-1.0
74,301099 CH Equity,2.0
75,301150 CH Equity,-1.0
76,301151 CH Equity,-1.0
77,600062 CH Equity,1.0
78,600078 CH Equity,-1.0
79,600106 CH Equity,-1.0
80,600176 CH Equity,-1.0
81,600185 CH Equity,-1.0
82,600227 CH Equity,-1.0
83,600293 CH Equity,-1.0
84,600313 CH Equity,-1.0
85,600354 CH Equity,-1.0
86,600390 CH Equity,-1.0
87,600419 CH Equity,-1.0
88,600433 CH Equity,-1.0
89,600476 CH Equity,-1.0
90,600520 CH Equity,-1.0
91,600707 CH Equity,-1.0
92,600766 CH Equity,-1.0
93,600777 CH Equity,1.0
94,600828 CH Equity,1.0
95,600989 CH Equity,-1.0
96,601166 CH Equity,1.0
97,601233 CH Equity,-1.0
98,603099 CH Equity,1.0
99,603187 CH Equity,-1.0
100,603191 CH Equity,-1.0
101,603308 CH Equity,-1.0
102,603333 CH Equity,-1.0
103,603335 CH Equity,-1.0
104,603662 CH Equity,-1.0
105,603663 CH Equity,-1.0
106,603667 CH Equity,-1.0
107,603697 CH Equity,2.0
108,603768 CH Equity,-1.0
109,603773 CH Equity,-1.0
110,603809 CH Equity,-1.0
111,603848 CH Equity,-1.0
112,603995 CH Equity,-1.0
113,605169 CH Equity,-1.0
114,688028 CH Equity,-1.0
115,688029 CH Equity,-1.0
116,688052 CH Equity,-1.0
117,688170 CH Equity,-1.0
118,688202 CH Equity,-1.0
119,688212 CH Equity,-1.0
120,688223 CH Equity,-1.0
121,688289 CH Equity,1.0
122,688299 CH Equity,-1.0
123,688377 CH Equity,-1.0
124,688468 CH Equity,-1.0
125,688551 CH Equity,-1.0
126,688718 CH Equity,-1.0
