,index,
0,RMS AU Equity,1.0
0,375500 KS Equity,-1.0
1,383800 KS Equity,1.0
0,MCHP US Equity,-1.0
0,0241 HK Equity,-1.0
1,0998 HK Equity,-1.0
2,1658 HK Equity,-1.0
0,00002 HK Equity,-1.0
1,00003 HK Equity,-1.0
2,00241 HK Equity,-1.0
0,002475 CH Equity,-1.0
0,000026 CH Equity,-1.0
1,000885 CH Equity,-1.0
2,000966 CH Equity,-1.0
3,002008 CH Equity,-1.0
4,002151 CH Equity,-1.0
5,002241 CH Equity,-1.0
6,002385 CH Equity,-1.0
7,002425 CH Equity,-1.0
8,002427 CH Equity,1.0
9,002569 CH Equity,-1.0
10,002610 CH Equity,-1.0
11,002717 CH Equity,-1.0
12,002725 CH Equity,-1.0
13,002739 CH Equity,-1.0
14,002869 CH Equity,-1.0
15,002990 CH Equity,-1.0
16,003040 CH Equity,-1.0
17,300122 CH Equity,-1.0
18,300130 CH Equity,1.0
19,300233 CH Equity,-1.0
20,300238 CH Equity,-1.0
21,300327 CH Equity,-1.0
22,300341 CH Equity,1.0
23,300353 CH Equity,-1.0
24,300433 CH Equity,-1.0
25,300456 CH Equity,2.0
26,300520 CH Equity,-1.0
27,300523 CH Equity,1.0
28,300598 CH Equity,-1.0
29,300657 CH Equity,-1.0
30,300773 CH Equity,-1.0
31,300803 CH Equity,-1.0
32,300812 CH Equity,1.0
33,300832 CH Equity,-1.0
34,300968 CH Equity,-1.0
35,301133 CH Equity,-1.0
36,301135 CH Equity,-1.0
37,600481 CH Equity,1.0
38,600703 CH Equity,-1.0
39,600726 CH Equity,1.0
40,600767 CH Equity,-1.0
41,601519 CH Equity,-1.0
42,603056 CH Equity,-1.0
43,603068 CH Equity,-1.0
44,603108 CH Equity,1.0
45,603501 CH Equity,-1.0
46,603882 CH Equity,-1.0
47,603931 CH Equity,1.0
48,603986 CH Equity,-1.0
49,605111 CH Equity,-1.0
50,605180 CH Equity,-1.0
51,688083 CH Equity,-1.0
52,688099 CH Equity,-1.0
53,688107 CH Equity,-1.0
54,688110 CH Equity,-1.0
55,688308 CH Equity,-1.0
56,688318 CH Equity,-1.0
57,688325 CH Equity,-1.0
58,688331 CH Equity,-1.0
59,688393 CH Equity,-1.0
60,688396 CH Equity,1.0
61,688501 CH Equity,-1.0
62,688589 CH Equity,-1.0
63,688687 CH Equity,-1.0
64,688728 CH Equity,-1.0
65,688766 CH Equity,-1.0
