,index,
0,000048 CH Equity,-1.0
1,000404 CH Equity,-1.0
2,000573 CH Equity,-1.0
3,000793 CH Equity,-1.0
4,000836 CH Equity,-1.0
5,000862 CH Equity,-1.0
6,000970 CH Equity,-1.0
7,001208 CH Equity,-1.0
8,001308 CH Equity,-1.0
9,002035 CH Equity,-1.0
10,002050 CH Equity,-1.0
11,002073 CH Equity,-1.0
12,002104 CH Equity,-1.0
13,002126 CH Equity,-1.0
14,002130 CH Equity,-1.0
15,002131 CH Equity,-1.0
16,002164 CH Equity,-1.0
17,002198 CH Equity,-1.0
18,002236 CH Equity,-1.0
19,002256 CH Equity,-1.0
20,002266 CH Equity,-1.0
21,002427 CH Equity,-1.0
22,002454 CH Equity,-1.0
23,002472 CH Equity,-1.0
24,002483 CH Equity,-1.0
25,002657 CH Equity,-1.0
26,002660 CH Equity,-1.0
27,002668 CH Equity,-1.0
28,002693 CH Equity,-1.0
29,002796 CH Equity,-1.0
30,002801 CH Equity,-1.0
31,002823 CH Equity,-1.0
32,002878 CH Equity,-1.0
33,002879 CH Equity,-1.0
34,002892 CH Equity,-1.0
35,002930 CH Equity,-1.0
36,002949 CH Equity,-1.0
37,300033 CH Equity,-1.0
38,300111 CH Equity,-1.0
39,300117 CH Equity,-1.0
40,300275 CH Equity,-1.0
41,300395 CH Equity,-1.0
42,300477 CH Equity,-1.0
43,300484 CH Equity,-1.0
44,300500 CH Equity,-1.0
45,300539 CH Equity,-1.0
46,300540 CH Equity,-1.0
47,300548 CH Equity,-1.0
48,300617 CH Equity,-1.0
49,300660 CH Equity,-1.0
50,300772 CH Equity,-1.0
51,300790 CH Equity,-1.0
52,300809 CH Equity,-1.0
53,300815 CH Equity,-1.0
54,300880 CH Equity,-1.0
55,300936 CH Equity,-1.0
56,300998 CH Equity,-1.0
57,301003 CH Equity,-1.0
58,301073 CH Equity,-1.0
59,301182 CH Equity,-1.0
60,301199 CH Equity,-1.0
61,600026 CH Equity,-1.0
62,600051 CH Equity,-1.0
63,600285 CH Equity,-1.0
64,600303 CH Equity,-1.0
65,600389 CH Equity,-1.0
66,600580 CH Equity,-1.0
67,600665 CH Equity,-1.0
68,600719 CH Equity,-1.0
69,600900 CH Equity,-1.0
70,600995 CH Equity,-1.0
71,601019 CH Equity,-1.0
72,601058 CH Equity,-1.0
73,601528 CH Equity,-1.0
74,601616 CH Equity,-1.0
75,601966 CH Equity,-1.0
76,603007 CH Equity,-1.0
77,603158 CH Equity,-1.0
78,603165 CH Equity,-1.0
79,603236 CH Equity,-1.0
80,603297 CH Equity,-1.0
81,603337 CH Equity,-1.0
82,603339 CH Equity,-1.0
83,603585 CH Equity,-1.0
84,603613 CH Equity,-1.0
85,603768 CH Equity,-1.0
86,603843 CH Equity,-1.0
87,603855 CH Equity,-1.0
88,605300 CH Equity,-1.0
89,688026 CH Equity,-1.0
90,688062 CH Equity,-1.0
91,688087 CH Equity,-1.0
92,688090 CH Equity,-1.0
93,688103 CH Equity,-1.0
94,688115 CH Equity,-1.0
95,688150 CH Equity,-1.0
96,688162 CH Equity,-1.0
97,688173 CH Equity,-1.0
98,688255 CH Equity,-1.0
99,688260 CH Equity,-1.0
100,688299 CH Equity,-1.0
101,688418 CH Equity,-1.0
102,688511 CH Equity,-1.0
103,688528 CH Equity,-1.0
104,688611 CH Equity,-1.0
105,688662 CH Equity,-1.0
