,3219
HMOP US Equity,-1.0
HNDL US Equity,-1.0
HSCZ US Equity,-1.0
HTAB US Equity,-1.0
HTRB US Equity,1.0
HUSV US Equity,-1.0
HYDB US Equity,1.0
HYDW US Equity,1.0
HYG US Equity,1.0
HYXF US Equity,1.0
IAI US Equity,1.0
IBB US Equity,1.0
IBDD US Equity,1.0
IBDN US Equity,-1.0
IBDP US Equity,-1.0
IBDQ US Equity,-1.0
IBDR US Equity,-1.0
IBMK US Equity,-1.0
IBML US Equity,-1.0
IBMM US Equity,-1.0
IBMN US Equity,1.0
IBND US Equity,1.0
IBUY US Equity,1.0
ICF US Equity,-1.0
ICOW US Equity,-1.0
ICSH US Equity,1.0
ICVT US Equity,-1.0
IDHQ US Equity,1.0
IDLV US Equity,-1.0
IDOG US Equity,1.0
IDU US Equity,-1.0
IDV US Equity,1.0
IEF US Equity,-1.0
IEFA US Equity,-1.0
IEI US Equity,1.0
IETC US Equity,1.0
IEUR US Equity,-1.0
IEUS US Equity,-1.0
IFRA US Equity,-1.0
IG US Equity,-1.0
IGBH US Equity,-1.0
IGE US Equity,1.0
IGHG US Equity,1.0
IGLB US Equity,1.0
IGM US Equity,-1.0
IGN US Equity,1.0
IGRO US Equity,-1.0
IGSB US Equity,1.0
IGV US Equity,-1.0
IHDG US Equity,1.0
IHE US Equity,1.0
IHI US Equity,-1.0
IHY US Equity,-1.0
IIGD US Equity,-1.0
IJH US Equity,1.0
ILCB US Equity,1.0
ILF US Equity,1.0
ILTB US Equity,-1.0
IMCB US Equity,-1.0
IMCV US Equity,1.0
IMTB US Equity,-1.0
IMTM US Equity,1.0
INDY US Equity,1.0
INKM US Equity,1.0
IPO US Equity,1.0
IQDE US Equity,1.0
IQDF US Equity,-1.0
IQDG US Equity,1.0
IQIN US Equity,-1.0
ISCF US Equity,-1.0
ISDX US Equity,-1.0
ISRA US Equity,1.0
ITB US Equity,-1.0
ITEQ US Equity,1.0
ITM US Equity,-1.0
ITOT US Equity,1.0
IUS US Equity,-1.0
IUSB US Equity,-1.0
IUSG US Equity,1.0
IUSS US Equity,1.0
IUSV US Equity,-1.0
IVE US Equity,1.0
IVOG US Equity,-1.0
IVOV US Equity,-1.0
IVW US Equity,-1.0
IWB US Equity,1.0
IWC US Equity,-1.0
IWD US Equity,1.0
IWL US Equity,1.0
IWN US Equity,-1.0
IWR US Equity,1.0
IWX US Equity,-1.0
IWY US Equity,1.0
IXC US Equity,1.0
IXG US Equity,-1.0
IXP US Equity,-1.0
IYC US Equity,1.0
IYF US Equity,1.0
IYH US Equity,1.0
IYJ US Equity,-1.0
IYR US Equity,-1.0
IYW US Equity,1.0
IYY US Equity,1.0
IYZ US Equity,1.0
IZRL US Equity,1.0
JAGG US Equity,1.0
