,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
000060 CH Equity,2022-05-08,SELL,中金岭南,-827339,0,0,4.06,6.718,500000,0,0,Quant,Pattern 87,CN-500
000513 CH Equity,2022-05-08,BUY,丽珠集团,100719,0,0,33.35,6.718,500000,0,0,Quant,Pattern 87,CN-500
000581 CH Equity,2022-05-08,BUY,威孚高科,169817,0,0,19.78,6.718,500000,0,0,Quant,Pattern 87,CN-500
000732 CH Equity,2022-05-08,BUY,泰禾集团,1876536,0,0,1.79,6.718,500000,0,0,Quant,Pattern 87,CN-500
000750 CH Equity,2022-05-08,SELL,国海证券,-1030368,0,0,3.26,6.718,500000,0,0,Quant,Pattern 87,CN-500
000980 CH Equity,2022-05-08,BUY,*ST众泰,1094136,0,0,3.07,6.718,500000,0,0,Quant,Pattern 87,CN-500
002048 CH Equity,2022-05-08,BUY,宁波华翔,262217,0,0,12.81,6.718,500000,0,0,Quant,Pattern 87,CN-500
002078 CH Equity,2022-05-08,BUY,太阳纸业,271763,0,0,12.36,6.718,500000,0,0,Quant,Pattern 87,CN-500
002366 CH Equity,2022-05-08,BUY,*ST 海核,905390,0,0,3.71,6.718,500000,0,0,Quant,Pattern 87,CN-500
002424 CH Equity,2022-05-08,SELL,贵州百灵,-491081,0,0,6.84,6.718,500000,0,0,Quant,Pattern 87,CN-500
6472 JT Equity,2022-05-08,SELL,NTN 株式会社,-604444,0,0,216.0,130.56,1000000,0,0,Quant,Pattern 87,JT
6758 JT Equity,2022-05-08,SELL,索尼集团公司,-11751,0,0,11110.0,130.56,1000000,0,0,Quant,Pattern 87,JT
8015 JT Equity,2022-05-08,BUY,丰田通商,27927,0,0,4675.0,130.56,1000000,0,0,Quant,Pattern 87,JT
8031 JT Equity,2022-05-08,SELL,三井物产,-38558,0,0,3386.0,130.56,1000000,0,0,Quant,Pattern 87,JT
8058 JT Equity,2022-05-08,SELL,三菱商事,-29175,0,0,4475.0,130.56,1000000,0,0,Quant,Pattern 87,JT
8306 JT Equity,2022-05-08,BUY,三菱日联金融集团,167491,0,0,779.5,130.56,1000000,0,0,Quant,Pattern 87,JT
8630 JT Equity,2022-05-08,BUY,损保控股株式会社,24569,0,0,5314.0,130.56,1000000,0,0,Quant,Pattern 87,JT
9433 JT Equity,2022-05-08,BUY,KDDI有限公司,30320,0,0,4306.0,130.56,1000000,0,0,Quant,Pattern 87,JT
9434 JT Equity,2022-05-08,BUY,SoftBank Corp,86722,0,0,1505.5,130.56,1000000,0,0,Quant,Pattern 87,JT
9501 JT Equity,2022-05-08,BUY,东京电力控股株式会社,246339,0,0,530.0,130.56,1000000,0,0,Quant,Pattern 87,JT
BIIB US Equity,2022-05-08,BUY,百健,2582,0,0,193.61,1.0,500000,0,0,Quant,Pattern 87,SPX
CMCSA US Equity,2022-05-08,SELL,康卡斯特,-12500,0,0,40.0,1.0,500000,0,0,Quant,Pattern 87,SPX
DGX US Equity,2022-05-08,SELL,Quest Diagnostics股份有限公,-3668,0,0,136.3,1.0,500000,0,0,Quant,Pattern 87,SPX
FANG US Equity,2022-05-08,BUY,Diamondback能源股份有限公司,3498,0,0,142.93,1.0,500000,0,0,Quant,Pattern 87,SPX
GIS US Equity,2022-05-08,SELL,通用磨坊,-7002,0,0,71.4,1.0,500000,0,0,Quant,Pattern 87,SPX
GM US Equity,2022-05-08,SELL,通用汽车公司,-12632,0,0,39.58,1.0,500000,0,0,Quant,Pattern 87,SPX
INTC US Equity,2022-05-08,BUY,英特尔,22573,0,0,44.3,1.0,500000,0,0,Quant,Pattern 87,SPX
IRM US Equity,2022-05-08,SELL,美国铁山公司,-9218,0,0,54.24,1.0,500000,0,0,Quant,Pattern 87,SPX
PPL US Equity,2022-05-08,SELL,PPL公司,-17105,0,0,29.23,1.0,500000,0,0,Quant,Pattern 87,SPX
SEE US Equity,2022-05-08,SELL,希悦尔公司,-7621,0,0,65.6,1.0,500000,0,0,Quant,Pattern 87,SPX
600584 CH Equity,2022-05-08,SELL,长电科技,-146873,0,0,22.87,6.718,500000,0,0,Quant,Pattern 87,CN-500
600729 CH Equity,2022-05-08,SELL,重庆百货,-117242,0,0,28.65,6.718,500000,0,0,Quant,Pattern 87,CN-500
600755 CH Equity,2022-05-08,SELL,厦门国贸,-464591,0,0,7.23,6.718,500000,0,0,Quant,Pattern 87,CN-500
600901 CH Equity,2022-05-08,BUY,江苏租赁,657338,0,0,5.11,6.718,500000,0,0,Quant,Pattern 87,CN-500
600939 CH Equity,2022-05-08,BUY,重庆建工,722365,0,0,4.65,6.718,500000,0,0,Quant,Pattern 87,CN-500
601001 CH Equity,2022-05-08,BUY,晋控煤业,274204,0,0,12.25,6.718,500000,0,0,Quant,Pattern 87,CN-500
601678 CH Equity,2022-05-08,SELL,滨化股份,-632580,0,0,5.31,6.718,500000,0,0,Quant,Pattern 87,CN-500
601699 CH Equity,2022-05-08,SELL,潞安环能,-232940,0,0,14.42,6.718,500000,0,0,Quant,Pattern 87,CN-500
603486 CH Equity,2022-05-08,BUY,科沃斯,34451,0,0,97.5,6.718,500000,0,0,Quant,Pattern 87,CN-500
BDX US Equity,2022-05-08,SELL,碧迪,-1938,0,0,257.97,1.0,500000,0,0,Quant,Pattern 87,SPX
088800 KS Equity,2022-05-08,SELL,Ace Technologies Corp,-116816,0,0,10900.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
095700 KS Equity,2022-05-08,BUY,Genexine股份有限公司,34274,0,0,37150.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
108230 KS Equity,2022-05-08,BUY,Toptec Co Ltd,154714,0,0,8230.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
108320 KS Equity,2022-05-08,SELL,LX半导体株式会社,-10194,0,0,124900.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
131970 KS Equity,2022-05-08,SELL,Tesna Inc,-27680,0,0,46000.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
263750 KS Equity,2022-05-08,BUY,Pearl Abyss Corp,20438,0,0,62300.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
290510 KS Equity,2022-05-08,BUY,Koreacenter Co Ltd,191186,0,0,6660.0,1273.3,1000000,0,0,Quant,Pattern 87,KS150
