,4419
ATVI US Equity,1.0
BIDU US Equity,-1.0
CTAS US Equity,-1.0
DXCM US Equity,-2.0
FOX US Equity,-1.0
MELI US Equity,-1.0
MSFT US Equity,1.0
NTES US Equity,1.0
