,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
8233 JT Equity,2022-05-02,BUY,高岛屋,109779,0,0,1181.0,129.65,1000000,0,0,Quant,Pattern 87,JT
8281 JT Equity,2022-05-02,BUY,赛标控股株式会社,70846,0,0,915.0,129.65,500000,0,0,Quant,Pattern 87,topix
8541 JT Equity,2022-05-02,SELL,爱媛银行,-70081,0,0,925.0,129.65,500000,0,0,Quant,Pattern 87,topix
8769 JT Equity,2022-05-02,BUY,日本利益风险管理有限公司,128112,0,0,506.0,129.65,500000,0,0,Quant,Pattern 87,topix
8918 JT Equity,2022-05-02,BUY,LAND有限公司,6482500,0,0,10.0,129.65,500000,0,0,Quant,Pattern 87,topix
9022 JT Equity,2022-05-02,SELL,东海旅客铁道株式会社,-7900,0,0,16410.0,129.65,1000000,0,0,Quant,Pattern 87,JT
9306 JT Equity,2022-05-02,SELL,Toyo Logistics Co Ltd,-210470,0,0,308.0,129.65,500000,0,0,Quant,Pattern 87,topix
9602 JT Equity,2022-05-02,BUY,东宝,13421,0,0,4830.0,129.65,500000,0,0,Quant,Pattern 87,topix
CNHI US Equity,2022-05-02,SELL,凯斯纽荷兰工业集团,-35236,0,0,14.19,1.0,500000,0,0,Quant,Pattern 87,us_adr
HSBC US Equity,2022-05-02,SELL,汇丰控股,-16123,0,0,31.01,1.0,500000,0,0,Quant,Pattern 87,us_adr
2005 HK Equity,2022-05-02,BUY,石四药集团,2012051,0,0,3.9,7.847,1000000,0,0,Quant,Pattern 87,HK-Conn
2018 HK Equity,2022-05-02,BUY,瑞声科技,424162,0,0,18.5,7.847,1000000,0,0,Quant,Pattern 87,HK-Conn
2611 HK Equity,2022-05-02,SELL,国泰君安,-769313,0,0,10.2,7.847,1000000,0,0,Quant,Pattern 87,HK-Conn
268 HK Equity,2022-05-02,SELL,金蝶国际,-480821,0,0,16.32,7.847,1000000,0,0,Quant,Pattern 87,HK-Conn
