,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
600663 CH Equity,2022-06-10,BUY,陆家嘴,316392,0,0,10.59,6.7012,500000,0,0,Quant,Pattern 87,CN-300
600733 CH Equity,2022-06-10,SELL,北汽蓝谷,-432894,0,0,7.74,6.7012,500000,0,0,Quant,Pattern 87,CN-300
600837 CH Equity,2022-06-10,BUY,海通证券,353812,0,0,9.47,6.7012,500000,0,0,Quant,Pattern 87,CN-300
600770 CH Equity,2022-06-10,BUY,综艺股份,885231,0,0,7.57,6.7012,500000,0,0,Quant,Pattern 87,CN-500
600804 CH Equity,2022-06-10,SELL,鹏博士,-943830,0,0,3.55,6.7012,500000,0,0,Quant,Pattern 87,CN-500
600823 CH Equity,2022-06-10,BUY,世茂股份,1143549,0,0,2.93,6.7012,500000,0,0,Quant,Pattern 87,CN-500
601000 CH Equity,2022-06-10,SELL,唐山港,-1250223,0,0,2.68,6.7012,500000,0,0,Quant,Pattern 87,CN-500
601598 CH Equity,2022-06-10,SELL,中国外运,-848253,0,0,3.95,6.7012,500000,0,0,Quant,Pattern 87,CN-500
601615 CH Equity,2022-06-10,BUY,明阳智能,129366,0,0,25.9,6.7012,500000,0,0,Quant,Pattern 87,CN-500
601689 CH Equity,2022-06-10,BUY,拓普集团,61933,0,0,54.1,6.7012,500000,0,0,Quant,Pattern 87,CN-500
603228 CH Equity,2022-06-10,BUY,景旺电子,143188,0,0,23.4,6.7012,500000,0,0,Quant,Pattern 87,CN-500
603233 CH Equity,2022-06-10,SELL,大参林,-103637,0,0,32.33,6.7012,500000,0,0,Quant,Pattern 87,CN-500
603650 CH Equity,2022-06-10,SELL,彤程新材,-118899,0,0,28.18,6.7012,500000,0,0,Quant,Pattern 87,CN-500
IBM US Equity,2022-06-10,SELL,国际商业机器,-3550,0,0,140.83,1.0,500000,0,0,Quant,Pattern 87,SPX
INTC US Equity,2022-06-10,BUY,英特尔,24254,0,0,41.23,1.0,500000,0,0,Quant,Pattern 87,SPX
JNPR US Equity,2022-06-10,BUY,瞻博网络股份有限公司,16528,0,0,30.25,1.0,500000,0,0,Quant,Pattern 87,SPX
PSA US Equity,2022-06-10,SELL,公共存储公司,-1579,0,0,316.56,1.0,500000,0,0,Quant,Pattern 87,SPX
QRVO US Equity,2022-06-10,BUY,Qorvo股份有限公司,4571,0,0,109.38,1.0,500000,0,0,Quant,Pattern 87,SPX
RF US Equity,2022-06-10,SELL,地区金融公司,-22935,0,0,21.8,1.0,500000,0,0,Quant,Pattern 87,SPX
TJX US Equity,2022-06-10,SELL,TJX公司,-8139,0,0,61.43,1.0,500000,0,0,Quant,Pattern 87,SPX
UNM US Equity,2022-06-10,BUY,尤纳姆集团,13672,0,0,36.57,1.0,500000,0,0,Quant,Pattern 87,SPX
WELL US Equity,2022-06-10,BUY,Welltower股份有限公司,5815,0,0,85.98,1.0,500000,0,0,Quant,Pattern 87,SPX
WRK US Equity,2022-06-10,SELL,WestRock公司,-10285,0,0,48.61,1.0,500000,0,0,Quant,Pattern 87,SPX
4911 JT Equity,2022-06-10,SELL,资生堂有限公司,-24159,0,0,5565.0,134.45,1000000,0,0,Quant,Pattern 87,JT
5019 JT Equity,2022-06-10,BUY,出光兴产株式会社,33528,0,0,4010.0,134.45,1000000,0,0,Quant,Pattern 87,JT
5406 JT Equity,2022-06-10,SELL,神户制钢,-185704,0,0,724.0,134.45,1000000,0,0,Quant,Pattern 87,JT
5803 JT Equity,2022-06-10,BUY,藤仓株式会社,157435,0,0,854.0,134.45,1000000,0,0,Quant,Pattern 87,JT
6701 JT Equity,2022-06-10,BUY,日本电气(NEC)株式会社,25272,0,0,5320.0,134.45,1000000,0,0,Quant,Pattern 87,JT
6752 JT Equity,2022-06-10,BUY,Panasonic株式会社,115111,0,0,1168.0,134.45,1000000,0,0,Quant,Pattern 87,JT
7012 JT Equity,2022-06-10,BUY,川崎重工,45072,0,0,2983.0,134.45,1000000,0,0,Quant,Pattern 87,JT
7202 JT Equity,2022-06-10,SELL,五十铃汽车,-81336,0,0,1653.0,134.45,1000000,0,0,Quant,Pattern 87,JT
7269 JT Equity,2022-06-10,SELL,铃木,-32792,0,0,4100.0,134.45,1000000,0,0,Quant,Pattern 87,JT
7735 JT Equity,2022-06-10,SELL,网屏控股株式会社,-11432,0,0,11760.0,134.45,1000000,0,0,Quant,Pattern 87,JT
2801 TT Equity,2022-06-10,BUY,彰化银行,1635401,0,0,18.05,29.519,1000000,0,0,Quant,Pattern 87,TW
2887 TT Equity,2022-06-10,SELL,台新金控,-1701383,0,0,17.35,29.519,1000000,0,0,Quant,Pattern 87,TW
4904 TT Equity,2022-06-10,BUY,远传,363534,0,0,81.2,29.519,1000000,0,0,Quant,Pattern 87,TW
5347 TT Equity,2022-06-10,SELL,世界,-289401,0,0,102.0,29.519,1000000,0,0,Quant,Pattern 87,TW
5876 TT Equity,2022-06-10,BUY,上海商银,565498,0,0,52.2,29.519,1000000,0,0,Quant,Pattern 87,TW
6488 TT Equity,2022-06-10,SELL,环球晶圆,-47230,0,0,625.0,29.519,1000000,0,0,Quant,Pattern 87,TW
JSTL IS Equity,2022-06-10,SELL,JSW钢铁有限公司,-269947,0,0,576.15,77.765,1000000,0,0,Quant,Pattern 87,IN
3382 JT Equity,2022-06-10,SELL,Seven & I 控股,-24251,0,0,5544.0,134.45,1000000,0,0,Quant,Pattern 87,JT
3863 JT Equity,2022-06-10,SELL,日本制纸有限公司,-139615,0,0,963.0,134.45,1000000,0,0,Quant,Pattern 87,JT
4005 JT Equity,2022-06-10,BUY,住友化学有限公司,236707,0,0,568.0,134.45,1000000,0,0,Quant,Pattern 87,JT
