,3162
ALD AU Equity,1.0
AMC AU Equity,1.0
AMP AU Equity,1.0
ANN AU Equity,1.0
APA AU Equity,1.0
APE AU Equity,-1.0
APT AU Equity,1.0
ASB AU Equity,1.0
AST AU Equity,1.0
ASX AU Equity,1.0
AWC AU Equity,-1.0
AZJ AU Equity,-1.0
BAP AU Equity,-1.0
BEN AU Equity,-1.0
BHP AU Equity,-1.0
BIN AU Equity,-1.0
BLD AU Equity,1.0
BOQ AU Equity,1.0
BSL AU Equity,1.0
BVS AU Equity,-1.0
BXB AU Equity,-1.0
CAR AU Equity,1.0
CBA AU Equity,1.0
CHC AU Equity,-1.0
CKF AU Equity,1.0
CMW AU Equity,1.0
COL AU Equity,-1.0
CPU AU Equity,-1.0
CSL AU Equity,1.0
CTD AU Equity,-1.0
CWN AU Equity,-1.0
DHG AU Equity,1.0
DMP AU Equity,-1.0
DXS AU Equity,-1.0
ELD AU Equity,1.0
EML AU Equity,1.0
EVN AU Equity,1.0
FBU AU Equity,1.0
FMG AU Equity,1.0
GMG AU Equity,1.0
GNC AU Equity,-1.0
GPT AU Equity,-1.0
GUD AU Equity,-1.0
GWA AU Equity,1.0
HVN AU Equity,1.0
IEL AU Equity,-1.0
IGO AU Equity,-1.0
INA AU Equity,1.0
ING AU Equity,-1.0
IPH AU Equity,-1.0
JHG AU Equity,1.0
JHX AU Equity,-1.0
LLC AU Equity,1.0
LYC AU Equity,-1.0
MGR AU Equity,1.0
MIN AU Equity,1.0
MP1 AU Equity,-1.0
MTS AU Equity,1.0
NAN AU Equity,1.0
NEA AU Equity,1.0
NHF AU Equity,1.0
NSR AU Equity,1.0
NST AU Equity,-1.0
NWH AU Equity,1.0
NWS AU Equity,-1.0
NXT AU Equity,1.0
ORA AU Equity,1.0
ORG AU Equity,-1.0
ORI AU Equity,-1.0
OZL AU Equity,-1.0
PNV AU Equity,-1.0
PPT AU Equity,1.0
PRN AU Equity,-1.0
PRU AU Equity,1.0
PTM AU Equity,-1.0
QUB AU Equity,1.0
REA AU Equity,-1.0
RHC AU Equity,-1.0
RMS AU Equity,-1.0
RRL AU Equity,-1.0
RWC AU Equity,1.0
SBM AU Equity,-1.0
SCG AU Equity,1.0
SEK AU Equity,1.0
SFR AU Equity,1.0
SHL AU Equity,1.0
SIQ AU Equity,1.0
SKC AU Equity,1.0
SPK AU Equity,1.0
SUN AU Equity,1.0
SVW AU Equity,1.0
SYD AU Equity,1.0
TCL AU Equity,1.0
TGR AU Equity,-1.0
TLS AU Equity,-1.0
TWE AU Equity,-1.0
VOC AU Equity,-1.0
VUK AU Equity,-1.0
WBC AU Equity,-1.0
WEB AU Equity,1.0
WHC AU Equity,1.0
WOR AU Equity,1.0
WPL AU Equity,-1.0
WTC AU Equity,1.0
XRO AU Equity,1.0
