,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
SMFG US Equity,2022-05-31,SELL,三井住友金融集团,-80385,0,0,6.22,1.0,500000,0,0,Quant,Pattern 87,us_etf
TSM US Equity,2022-05-31,BUY,台积电,5332,0,0,93.77,1.0,500000,0,0,Quant,Pattern 87,us_etf
TV US Equity,2022-05-31,BUY,墨西哥电视集团股份有限公司,100806,0,0,9.92,1.0,500000,0,0,Quant,Pattern 87,us_etf
UL US Equity,2022-05-31,BUY,联合利华公共有限公司,11368,0,0,43.98,1.0,500000,0,0,Quant,Pattern 87,us_etf
3232 JT Equity,2022-05-31,SELL,三重交通株式会社,-130686,0,0,488.0,127.55,500000,0,0,Quant,Pattern 87,topix
3275 JT Equity,2022-05-31,SELL,Housecom公司,-58724,0,0,1086.0,127.55,500000,0,0,Quant,Pattern 87,topix
4384 JT Equity,2022-05-31,SELL,Raksul株式会社,-59630,0,0,2139.0,127.55,500000,0,0,Quant,Pattern 87,topix
4719 JT Equity,2022-05-31,SELL,Alpha系统股份有限公司,-14935,0,0,4270.0,127.55,500000,0,0,Quant,Pattern 87,topix
4829 JT Equity,2022-05-31,BUY,Nihon Enterprise Co Ltd,386515,0,0,165.0,127.55,500000,0,0,Quant,Pattern 87,topix
5612 JT Equity,2022-05-31,BUY,Nippon Chutetsukan KK,62770,0,0,1016.0,127.55,500000,0,0,Quant,Pattern 87,topix
6419 JT Equity,2022-05-31,SELL,MARS集团控股株式会社,-37338,0,0,1708.0,127.55,500000,0,0,Quant,Pattern 87,topix
6951 JT Equity,2022-05-31,BUY,日本电子株式会社,10171,0,0,6270.0,127.55,500000,0,0,Quant,Pattern 87,topix
7033 JT Equity,2022-05-31,SELL,Management Solutions Co Ltd,-12793,0,0,4985.0,127.55,500000,0,0,Quant,Pattern 87,topix
7244 JT Equity,2022-05-31,SELL,市光工业株式会社,-178641,0,0,357.0,127.55,500000,0,0,Quant,Pattern 87,topix
SBM AU Equity,2022-05-31,BUY,St Barbara 有限公司,1117028,0,0,1.245,1.3907,1000000,0,0,Quant,Pattern 87,AU
SCG AU Equity,2022-05-31,SELL,Scentre集团,-473027,0,0,2.94,1.3907,1000000,0,0,Quant,Pattern 87,AU
SPK AU Equity,2022-05-31,BUY,Spark新西兰有限公司,321177,0,0,4.33,1.3907,1000000,0,0,Quant,Pattern 87,AU
SSM AU Equity,2022-05-31,BUY,Service Stream 有限公司,1519890,0,0,0.915,1.3907,1000000,0,0,Quant,Pattern 87,AU
