,3058
AMAT US Equity,-1.0
BF.B US Equity,-1.0
CHD US Equity,-1.0
CMCSA US Equity,-1.0
CSX US Equity,-2.0
D US Equity,-1.0
DLR US Equity,-1.0
FANG US Equity,-1.0
FLS US Equity,-1.0
HSIC US Equity,1.0
IT US Equity,1.0
KO US Equity,-1.0
MAS US Equity,1.0
MCK US Equity,-1.0
MO US Equity,1.0
NVR US Equity,-1.0
OMC US Equity,-1.0
PPL US Equity,-1.0
PSA US Equity,-1.0
ROP US Equity,-1.0
SBUX US Equity,1.0
SEE US Equity,-1.0
SHW US Equity,1.0
TSCO US Equity,-1.0
UNP US Equity,-1.0
VLO US Equity,-2.0
WRK US Equity,1.0
ZTS US Equity,1.0
