,4522
1288 HK Equity,-1.0
1299 HK Equity,-1.0
1533 HK Equity,1.0
1618 HK Equity,-1.0
1628 HK Equity,1.0
168 HK Equity,-1.0
179 HK Equity,-1.0
1896 HK Equity,1.0
2039 HK Equity,-1.0
2202 HK Equity,1.0
23 HK Equity,1.0
241 HK Equity,1.0
2588 HK Equity,1.0
2628 HK Equity,2.0
2669 HK Equity,-1.0
354 HK Equity,1.0
3908 HK Equity,-1.0
3990 HK Equity,1.0
568 HK Equity,-1.0
598 HK Equity,1.0
6060 HK Equity,1.0
6178 HK Equity,-1.0
763 HK Equity,-1.0
83 HK Equity,-1.0
857 HK Equity,-1.0
873 HK Equity,-2.0
874 HK Equity,1.0
921 HK Equity,-1.0
960 HK Equity,1.0
991 HK Equity,1.0
