,4486
10 HK Equity,-1.0
1071 HK Equity,1.0
1093 HK Equity,-1.0
1208 HK Equity,1.0
1233 HK Equity,1.0
1308 HK Equity,1.0
136 HK Equity,-1.0
1378 HK Equity,1.0
1513 HK Equity,-1.0
1530 HK Equity,1.0
1858 HK Equity,-1.0
2128 HK Equity,-1.0
2238 HK Equity,1.0
2318 HK Equity,1.0
2328 HK Equity,1.0
2382 HK Equity,1.0
293 HK Equity,-1.0
3 HK Equity,-1.0
345 HK Equity,-1.0
3883 HK Equity,1.0
3968 HK Equity,-2.0
588 HK Equity,1.0
6098 HK Equity,1.0
6099 HK Equity,-1.0
6158 HK Equity,-2.0
6198 HK Equity,1.0
683 HK Equity,-1.0
6837 HK Equity,-1.0
688 HK Equity,1.0
700 HK Equity,-1.0
83 HK Equity,1.0
836 HK Equity,1.0
867 HK Equity,1.0
873 HK Equity,1.0
939 HK Equity,1.0
981 HK Equity,-1.0
998 HK Equity,1.0
