,4508
1072 HK Equity,-1.0
1109 HK Equity,-1.0
1238 HK Equity,1.0
1533 HK Equity,1.0
1585 HK Equity,-1.0
1635 HK Equity,-1.0
179 HK Equity,1.0
19 HK Equity,-1.0
1988 HK Equity,1.0
1997 HK Equity,-1.0
2007 HK Equity,-1.0
2016 HK Equity,-1.0
220 HK Equity,1.0
2202 HK Equity,-1.0
2359 HK Equity,1.0
2607 HK Equity,1.0
2628 HK Equity,1.0
3323 HK Equity,-1.0
347 HK Equity,1.0
588 HK Equity,-1.0
6169 HK Equity,1.0
670 HK Equity,-1.0
6826 HK Equity,-1.0
683 HK Equity,1.0
873 HK Equity,-1.0
981 HK Equity,1.0
995 HK Equity,-1.0
