,4499
1072 HK Equity,1.0
1171 HK Equity,-1.0
1193 HK Equity,-1.0
1199 HK Equity,-1.0
144 HK Equity,-1.0
1528 HK Equity,-1.0
168 HK Equity,-1.0
1918 HK Equity,1.0
200 HK Equity,-1.0
220 HK Equity,-1.0
2202 HK Equity,-1.0
2331 HK Equity,1.0
2359 HK Equity,1.0
2388 HK Equity,-1.0
2588 HK Equity,1.0
2669 HK Equity,-1.0
2883 HK Equity,-1.0
303 HK Equity,-1.0
3323 HK Equity,-1.0
3328 HK Equity,-1.0
345 HK Equity,1.0
347 HK Equity,-1.0
3866 HK Equity,-1.0
3900 HK Equity,-1.0
551 HK Equity,1.0
6066 HK Equity,-1.0
6160 HK Equity,1.0
636 HK Equity,-1.0
688 HK Equity,1.0
83 HK Equity,1.0
873 HK Equity,-1.0
