,2956
ABBV US Equity,1.0
ABT US Equity,-1.0
ADI US Equity,1.0
ADM US Equity,1.0
ADP US Equity,1.0
AEP US Equity,1.0
AIG US Equity,1.0
ALL US Equity,1.0
ALLE US Equity,-1.0
APA US Equity,1.0
AVGO US Equity,-1.0
AVY US Equity,-1.0
AZO US Equity,1.0
BAX US Equity,-1.0
BIIB US Equity,1.0
BK US Equity,1.0
BMY US Equity,1.0
CBOE US Equity,1.0
CHRW US Equity,-1.0
CL US Equity,1.0
CMCSA US Equity,-1.0
CME US Equity,1.0
CMI US Equity,1.0
CNC US Equity,-1.0
COP US Equity,-1.0
COTY US Equity,1.0
CRM US Equity,1.0
CSCO US Equity,1.0
CSX US Equity,1.0
CTSH US Equity,1.0
CVX US Equity,-1.0
D US Equity,1.0
DD US Equity,-1.0
DISCA US Equity,-1.0
DISH US Equity,-1.0
DLR US Equity,1.0
DLTR US Equity,1.0
EA US Equity,-1.0
EFX US Equity,1.0
EL US Equity,-1.0
EOG US Equity,1.0
EXPD US Equity,-1.0
F US Equity,1.0
FANG US Equity,1.0
FB US Equity,1.0
FCX US Equity,1.0
FDX US Equity,1.0
FIS US Equity,-1.0
FLS US Equity,-1.0
FMC US Equity,-1.0
FTI US Equity,1.0
FTNT US Equity,-1.0
GIS US Equity,1.0
GLW US Equity,-1.0
GOOG US Equity,1.0
GOOGL US Equity,-1.0
GPN US Equity,-1.0
GPS US Equity,1.0
HAL US Equity,1.0
HAS US Equity,1.0
HCA US Equity,1.0
HFC US Equity,1.0
HII US Equity,-1.0
HON US Equity,-1.0
HRB US Equity,-1.0
HUM US Equity,1.0
IBM US Equity,1.0
ICE US Equity,-1.0
IDXX US Equity,1.0
IEX US Equity,1.0
IP US Equity,1.0
IPG US Equity,1.0
ISRG US Equity,1.0
JNJ US Equity,-1.0
K US Equity,-1.0
KEY US Equity,1.0
KHC US Equity,1.0
KLAC US Equity,-1.0
KMI US Equity,1.0
KMX US Equity,-1.0
KSS US Equity,-1.0
L US Equity,1.0
LEN US Equity,-1.0
LH US Equity,-1.0
LNC US Equity,-1.0
LNT US Equity,1.0
LVS US Equity,-1.0
LYB US Equity,-1.0
MA US Equity,1.0
MAA US Equity,1.0
MDT US Equity,1.0
MS US Equity,1.0
MSI US Equity,-1.0
NKE US Equity,1.0
NLSN US Equity,-1.0
NOW US Equity,-1.0
NTAP US Equity,-1.0
NVR US Equity,-1.0
NWL US Equity,-1.0
O US Equity,1.0
OKE US Equity,1.0
OMC US Equity,-1.0
PBCT US Equity,1.0
PCAR US Equity,-1.0
PFE US Equity,-1.0
PLD US Equity,1.0
PNR US Equity,1.0
PNW US Equity,-1.0
PVH US Equity,-1.0
PWR US Equity,1.0
PYPL US Equity,1.0
QRVO US Equity,-1.0
REGN US Equity,-1.0
RMD US Equity,-1.0
ROP US Equity,-1.0
ROST US Equity,-1.0
RSG US Equity,1.0
SEE US Equity,-1.0
SO US Equity,1.0
STT US Equity,-1.0
SYF US Equity,1.0
TFX US Equity,1.0
TGT US Equity,-1.0
TJX US Equity,1.0
TROW US Equity,1.0
TXN US Equity,-1.0
UAL US Equity,-1.0
UNM US Equity,-1.0
UNP US Equity,-1.0
URI US Equity,1.0
VLO US Equity,1.0
VRSN US Equity,1.0
VTR US Equity,1.0
WFC US Equity,-1.0
WHR US Equity,-1.0
WLTW US Equity,1.0
WM US Equity,-1.0
WMB US Equity,1.0
WRK US Equity,-1.0
WU US Equity,-1.0
YUM US Equity,-1.0
ZBH US Equity,1.0
ZTS US Equity,1.0
