,4541
1055 HK Equity,1.0
1128 HK Equity,-1.0
1299 HK Equity,2.0
1308 HK Equity,-1.0
1316 HK Equity,-1.0
1513 HK Equity,1.0
1801 HK Equity,-1.0
1882 HK Equity,-1.0
2313 HK Equity,-1.0
2319 HK Equity,-2.0
2338 HK Equity,1.0
2628 HK Equity,-2.0
2866 HK Equity,-1.0
2880 HK Equity,1.0
291 HK Equity,-1.0
345 HK Equity,1.0
3690 HK Equity,1.0
3808 HK Equity,-1.0
392 HK Equity,1.0
522 HK Equity,1.0
564 HK Equity,-1.0
6060 HK Equity,-1.0
6169 HK Equity,-1.0
636 HK Equity,-1.0
683 HK Equity,1.0
6886 HK Equity,-1.0
83 HK Equity,1.0
836 HK Equity,1.0
966 HK Equity,1.0
968 HK Equity,1.0
