,date,side,NAME_CHINESE_SIMPLIFIED,shares,price,current,PREV_CLOSE_VAL,fx,notional,pnl_today,pnl_total,Quant,Pattern,country
002002 CH Equity,2022-05-26,BUY,鸿达兴业,942500,0,0,3.56,6.7106,500000,0,0,Quant,Pattern 87,CN-500
002049 CH Equity,2022-05-26,BUY,紫光国微,18647,0,0,179.93,6.7106,500000,0,0,Quant,Pattern 87,CN-500
002085 CH Equity,2022-05-26,SELL,万丰奥威,-686155,0,0,4.89,6.7106,500000,0,0,Quant,Pattern 87,CN-500
002093 CH Equity,2022-05-26,BUY,国脉科技,613400,0,0,5.47,6.7106,500000,0,0,Quant,Pattern 87,CN-500
002233 CH Equity,2022-05-26,SELL,塔牌集团,-386110,0,0,8.69,6.7106,500000,0,0,Quant,Pattern 87,CN-500
002368 CH Equity,2022-05-26,SELL,太极股份,-191841,0,0,17.49,6.7106,500000,0,0,Quant,Pattern 87,CN-500
002390 CH Equity,2022-05-26,SELL,信邦制药,-701945,0,0,4.78,6.7106,500000,0,0,Quant,Pattern 87,CN-500
002424 CH Equity,2022-05-26,BUY,贵州百灵,425259,0,0,7.89,6.7106,500000,0,0,Quant,Pattern 87,CN-500
002439 CH Equity,2022-05-26,SELL,启明星辰,-196216,0,0,17.1,6.7106,500000,0,0,Quant,Pattern 87,CN-500
002482 CH Equity,2022-05-26,SELL,广田集团,-1452510,0,0,2.31,6.7106,500000,0,0,Quant,Pattern 87,CN-500
PEP US Equity,2022-05-26,BUY,百事可乐,2979,0,0,167.82,1.0,500000,0,0,Quant,Pattern 87,NDX
ROST US Equity,2022-05-26,SELL,Ross 商店有限公司,-6442,0,0,77.61,1.0,500000,0,0,Quant,Pattern 87,NDX
TMUS US Equity,2022-05-26,BUY,T-Mobile US股份有限公司,3869,0,0,129.22,1.0,500000,0,0,Quant,Pattern 87,NDX
ANN AU Equity,2022-05-26,BUY,Ansell有限公司,52561,0,0,26.82,1.4097,1000000,0,0,Quant,Pattern 87,AU
CCP AU Equity,2022-05-26,BUY,Credit Corp 集团有限公司,62989,0,0,22.38,1.4097,1000000,0,0,Quant,Pattern 87,AU
CLW AU Equity,2022-05-26,SELL,Charter Hall Long Wale REIT,-287693,0,0,4.9,1.4097,1000000,0,0,Quant,Pattern 87,AU
COL AU Equity,2022-05-26,SELL,Coles集团有限公司,-78316,0,0,18.0,1.4097,1000000,0,0,Quant,Pattern 87,AU
FMG AU Equity,2022-05-26,SELL,FMG集团,-68167,0,0,20.68,1.4097,1000000,0,0,Quant,Pattern 87,AU
GOR AU Equity,2022-05-26,BUY,Gold Road资源有限公司,1040369,0,0,1.355,1.4097,1000000,0,0,Quant,Pattern 87,AU
GUD AU Equity,2022-05-26,SELL,GUD 控股有限公司,-248405,0,0,11.35,1.4097,1000000,0,0,Quant,Pattern 87,AU
112610 KS Equity,2022-05-26,BUY,CS Wind Corp,24131,0,0,52400.0,1264.5,1000000,0,0,Quant,Pattern 87,KR
214320 KS Equity,2022-05-26,BUY,伊诺盛有限公司,25417,0,0,49750.0,1264.5,1000000,0,0,Quant,Pattern 87,KR
241590 KS Equity,2022-05-26,SELL,Hwaseung Enterprise Co Ltd,-80798,0,0,15650.0,1264.5,1000000,0,0,Quant,Pattern 87,KR
006730 KS Equity,2022-05-26,SELL,Seobu T&D,-138803,0,0,9110.0,1264.5,1000000,0,0,Quant,Pattern 87,KS150
038500 KS Equity,2022-05-26,SELL,SAMPYO Cement Co Ltd,-273405,0,0,4625.0,1264.5,1000000,0,0,Quant,Pattern 87,KS150
038540 KS Equity,2022-05-26,SELL,Sangsangin Co Ltd,-129559,0,0,9760.0,1264.5,1000000,0,0,Quant,Pattern 87,KS150
078340 KS Equity,2022-05-26,SELL,Com2uS公司,-15071,0,0,83900.0,1264.5,1000000,0,0,Quant,Pattern 87,KS150
086520 KS Equity,2022-05-26,BUY,Ecopro株式会社,15630,0,0,80900.0,1264.5,1000000,0,0,Quant,Pattern 87,KS150
088800 KS Equity,2022-05-26,BUY,Ace Technologies Corp,123365,0,0,10250.0,1264.5,1000000,0,0,Quant,Pattern 87,KS150
122870 KS Equity,2022-05-26,SELL,YG娱乐股份有限公司,-22949,0,0,55100.0,1264.5,1000000,0,0,Quant,Pattern 87,KS150
1208 HK Equity,2022-05-26,BUY,五矿资源,2393231,0,0,3.2800000000000002,7.8498,1000000,0,0,Quant,Pattern 87,HK-Conn
1316 HK Equity,2022-05-26,BUY,耐世特,1748285,0,0,4.49,7.8498,1000000,0,0,Quant,Pattern 87,HK-Conn
