,3180
1719 JT Equity,1.0
1820 JT Equity,1.0
2428 JT Equity,-1.0
2485 JT Equity,-1.0
2802 JT Equity,-1.0
3099 JT Equity,1.0
3110 JT Equity,-1.0
3467 JT Equity,1.0
3934 JT Equity,1.0
4041 JT Equity,1.0
4384 JT Equity,-1.0
4550 JT Equity,-1.0
4641 JT Equity,-1.0
4956 JT Equity,1.0
5334 JT Equity,1.0
5357 JT Equity,1.0
5909 JT Equity,-1.0
5958 JT Equity,1.0
6191 JT Equity,1.0
6445 JT Equity,1.0
6552 JT Equity,1.0
6572 JT Equity,-1.0
7455 JT Equity,1.0
8159 JT Equity,1.0
8233 JT Equity,-1.0
8337 JT Equity,-1.0
8609 JT Equity,1.0
8918 JT Equity,1.0
9069 JT Equity,-1.0
9380 JT Equity,-1.0
