,4436
1303 TT Equity,-1.0
1476 TT Equity,1.0
2317 TT Equity,-1.0
2324 TT Equity,-1.0
2357 TT Equity,-1.0
2385 TT Equity,-1.0
2492 TT Equity,-1.0
2912 TT Equity,-1.0
3045 TT Equity,1.0
3105 TT Equity,-1.0
5347 TT Equity,1.0
5876 TT Equity,1.0
6669 TT Equity,1.0
