,3243
1820 JT Equity,1.0
2117 JT Equity,1.0
2791 JT Equity,2.0
2975 JT Equity,1.0
3275 JT Equity,-1.0
3538 JT Equity,1.0
3608 JT Equity,1.0
3985 JT Equity,1.0
4550 JT Equity,1.0
4829 JT Equity,-1.0
5334 JT Equity,1.0
6200 JT Equity,-1.0
6292 JT Equity,1.0
6419 JT Equity,-1.0
6504 JT Equity,1.0
7202 JT Equity,-1.0
7244 JT Equity,1.0
7296 JT Equity,1.0
7451 JT Equity,-1.0
7739 JT Equity,1.0
8041 JT Equity,-1.0
8078 JT Equity,-1.0
8150 JT Equity,-1.0
8179 JT Equity,-1.0
8214 JT Equity,-1.0
8541 JT Equity,-1.0
8563 JT Equity,-1.0
8766 JT Equity,-1.0
8871 JT Equity,1.0
9644 JT Equity,-1.0
