,3181
ABB US Equity,-1.0
AMX US Equity,-1.0
BBVA US Equity,1.0
BCE US Equity,-1.0
BCH US Equity,1.0
BCS US Equity,-1.0
BHP US Equity,-1.0
BMO US Equity,1.0
BP US Equity,1.0
BSAC US Equity,-1.0
BTI US Equity,-1.0
CAJ US Equity,-1.0
CM US Equity,-1.0
CNI US Equity,-1.0
CNQ US Equity,-1.0
CP US Equity,1.0
CRH US Equity,-1.0
CS US Equity,1.0
DEO US Equity,1.0
ERIC US Equity,1.0
GGB US Equity,-1.0
GIB US Equity,-1.0
GIL US Equity,-1.0
HSBC US Equity,-1.0
IHG US Equity,-1.0
IMO US Equity,-1.0
ING US Equity,-1.0
ITUB US Equity,-1.0
JD US Equity,1.0
LOGI US Equity,-1.0
MFG US Equity,-1.0
MT US Equity,-1.0
MUFG US Equity,-1.0
NGG US Equity,1.0
NMR US Equity,1.0
NTES US Equity,1.0
NTR US Equity,-1.0
NVS US Equity,-1.0
ORAN US Equity,-1.0
PBA US Equity,-1.0
PBR US Equity,-1.0
PSO US Equity,1.0
PUK US Equity,-1.0
RACE US Equity,-1.0
RY US Equity,-1.0
SAN US Equity,-1.0
SHEL US Equity,1.0
SNN US Equity,-1.0
SNY US Equity,1.0
SONY US Equity,1.0
STLA US Equity,1.0
SU US Equity,1.0
TD US Equity,-1.0
TECK US Equity,1.0
TEF US Equity,-1.0
TM US Equity,1.0
TRI US Equity,1.0
TRP US Equity,-1.0
TV US Equity,1.0
UMC US Equity,-1.0
VOD US Equity,1.0
WPM US Equity,-1.0
