,4483
1044 HK Equity,-1.0
1055 HK Equity,1.0
1093 HK Equity,1.0
1128 HK Equity,-1.0
144 HK Equity,1.0
1456 HK Equity,1.0
1533 HK Equity,-1.0
1548 HK Equity,-1.0
1877 HK Equity,-1.0
2013 HK Equity,-1.0
2319 HK Equity,-1.0
2359 HK Equity,-1.0
2588 HK Equity,1.0
2669 HK Equity,-2.0
317 HK Equity,-1.0
3319 HK Equity,1.0
336 HK Equity,1.0
338 HK Equity,1.0
3633 HK Equity,-1.0
3690 HK Equity,-1.0
3969 HK Equity,1.0
551 HK Equity,-1.0
659 HK Equity,-1.0
6862 HK Equity,-1.0
6869 HK Equity,1.0
688 HK Equity,1.0
83 HK Equity,-1.0
884 HK Equity,-1.0
966 HK Equity,1.0
995 HK Equity,-1.0
