,4424
2502 JT Equity,-1.0
2801 JT Equity,2.0
3659 JT Equity,-1.0
3861 JT Equity,1.0
4506 JT Equity,1.0
5019 JT Equity,-1.0
5214 JT Equity,-1.0
7205 JT Equity,1.0
7267 JT Equity,-1.0
7733 JT Equity,1.0
8267 JT Equity,1.0
9983 JT Equity,2.0
