,3166
00001 HK Equity,1.0
00002 HK Equity,-1.0
00005 HK Equity,-1.0
00012 HK Equity,-1.0
00017 HK Equity,-1.0
00027 HK Equity,-1.0
00066 HK Equity,1.0
00288 HK Equity,-1.0
00386 HK Equity,1.0
00700 HK Equity,-1.0
00762 HK Equity,-1.0
00941 HK Equity,1.0
01038 HK Equity,1.0
01113 HK Equity,1.0
01398 HK Equity,-1.0
01876 HK Equity,-1.0
01928 HK Equity,-1.0
01997 HK Equity,1.0
02007 HK Equity,1.0
02020 HK Equity,-1.0
02269 HK Equity,1.0
02313 HK Equity,1.0
03690 HK Equity,-1.0
03988 HK Equity,1.0
09988 HK Equity,-1.0
