cal_sig_date,sig,r_get_close,index_code
2022-05-10,0,0,000300
2022-05-11,0,0,000300
2022-05-12,-1,0,000300
2022-05-13,-1,-0.00139985340703144,000300
2022-05-10,-1,-0.014544,000905
2022-05-11,-1,-0.008388,000905
2022-05-12,-1,-0.000921,000905
2022-05-13,0,-0.00935,000905
2022-05-09,-1,0.0421187675313662,RTY
2022-05-10,-1,0.000164578225733236,RTY
2022-05-11,-1,0.0247759381084011,RTY
2022-05-12,-1,-0.0123622056409838,RTY
2022-05-10,1,0.002458,SPX
2022-05-11,1,-0.016463,SPX
2022-05-12,1,-0.001296,SPX
2022-05-13,1,0.02387,SPX
2022-05-10,0,0,as51
2022-05-11,1,0,as51
2022-05-12,0,-0.0176053434682294,as51
2022-05-13,-1,-0.000104322125102485,as51
2022-05-10,0,0,hsce
2022-05-11,0,0,hsce
2022-05-12,0,0,hsce
2022-05-13,0,0,hsce
2022-05-10,1,0.00920382039430231,kosdaq
2022-05-11,1,0.0119139393089915,kosdaq
2022-05-12,1,-0.0377219105662905,kosdaq
2022-05-13,1,0.0232948684115828,kosdaq
2022-05-10,1,-0.00503749167655831,kospi
2022-05-11,1,-0.000669246661041178,kospi
2022-05-12,1,-0.0160144421150711,kospi
2022-05-13,1,0.022370835059478,kospi
2022-05-10,0,0.00062614391677096,msci
2022-05-11,0,0.00169567368708543,msci
2022-05-12,0,0,msci
2022-05-13,0,0,msci
2022-05-09,1,-0.0398471658722968,ndx
2022-05-10,1,0.0129802998104647,ndx
2022-05-11,1,-0.0306417515126479,ndx
2022-05-12,1,-0.00184665262876438,ndx
2022-05-10,0,0,nifty
2022-05-11,1,0,nifty
2022-05-12,1,-0.014301209030591,nifty
2022-05-13,1,-0.00163208502024292,nifty
2022-05-10,-1,0.0057828285706687,nky
2022-05-11,-1,-0.00177704063499595,nky
2022-05-12,-1,0.0177350688192388,nky
2022-05-13,-1,-0.0263702633531013,nky
2022-05-10,0,0,set50
2022-05-11,0,0,set50
2022-05-12,0,0,set50
2022-05-13,0,0,set50
2022-05-09,0,0,sx5e
2022-05-10,0,0,sx5e
2022-05-11,0,0,sx5e
2022-05-12,0,0,sx5e
2022-05-10,0,0,topix
2022-05-11,0,0,topix
2022-05-12,0,0,topix
2022-05-13,0,0,topix
2022-05-10,1,0.000797562449762923,twse
2022-05-11,1,-0.00345542501727714,twse
2022-05-12,1,-0.0243343204508253,twse
2022-05-13,1,0.013818540408665,twse
2022-05-09,0,0,ukx
2022-05-10,0,0,ukx
2022-05-11,0,0,ukx
2022-05-12,0,0,ukx
2022-05-10,0,-0.00796600347691712,xin9i
2022-05-11,0,-0.0002,xin9i
2022-05-12,0,0,xin9i
2022-05-13,0,0,xin9i
