,3121
ABC AU Equity,-1.0
ABP AU Equity,-1.0
AGL AU Equity,-1.0
AIA AU Equity,1.0
ALD AU Equity,-1.0
ALL AU Equity,1.0
ALQ AU Equity,1.0
ALU AU Equity,1.0
AMP AU Equity,1.0
ANN AU Equity,1.0
APA AU Equity,-1.0
APT AU Equity,1.0
APX AU Equity,-1.0
ARB AU Equity,1.0
AST AU Equity,1.0
AZJ AU Equity,1.0
BAP AU Equity,-1.0
BEN AU Equity,1.0
BIN AU Equity,-1.0
BKL AU Equity,1.0
BKW AU Equity,1.0
BLD AU Equity,1.0
BPT AU Equity,-1.0
BSL AU Equity,1.0
BVS AU Equity,-1.0
CAR AU Equity,-1.0
CCP AU Equity,-1.0
CGC AU Equity,1.0
CGF AU Equity,1.0
CIM AU Equity,-1.0
CLW AU Equity,-1.0
CNU AU Equity,-1.0
COH AU Equity,1.0
COL AU Equity,-1.0
CQR AU Equity,-1.0
CSR AU Equity,1.0
CWN AU Equity,-1.0
CWY AU Equity,-1.0
DHG AU Equity,1.0
DMP AU Equity,1.0
DOW AU Equity,1.0
DXS AU Equity,1.0
ELD AU Equity,1.0
EML AU Equity,1.0
EVN AU Equity,-1.0
FBU AU Equity,-1.0
FPH AU Equity,-1.0
GEM AU Equity,-1.0
GNC AU Equity,-1.0
GOR AU Equity,1.0
GUD AU Equity,1.0
GWA AU Equity,-1.0
HLS AU Equity,-1.0
HVN AU Equity,1.0
ILU AU Equity,-1.0
INA AU Equity,1.0
ING AU Equity,1.0
IPH AU Equity,1.0
IVC AU Equity,1.0
JHX AU Equity,-1.0
KGN AU Equity,1.0
MGR AU Equity,1.0
MND AU Equity,1.0
MP1 AU Equity,1.0
MQG AU Equity,-1.0
MSB AU Equity,-1.0
MTS AU Equity,-1.0
NAN AU Equity,1.0
NCM AU Equity,-1.0
NEA AU Equity,-1.0
NEC AU Equity,1.0
NHF AU Equity,-1.0
NST AU Equity,-1.0
NWH AU Equity,1.0
NWS AU Equity,1.0
NXT AU Equity,1.0
ORA AU Equity,1.0
ORG AU Equity,-1.0
ORI AU Equity,1.0
OSH AU Equity,1.0
OZL AU Equity,1.0
PMV AU Equity,-1.0
PNV AU Equity,-1.0
PRN AU Equity,1.0
PRU AU Equity,1.0
PTM AU Equity,1.0
REH AU Equity,1.0
RMS AU Equity,1.0
RSG AU Equity,-1.0
S32 AU Equity,1.0
SCG AU Equity,1.0
SCP AU Equity,-1.0
SDF AU Equity,-1.0
SEK AU Equity,-1.0
SGM AU Equity,-1.0
SOL AU Equity,1.0
SPK AU Equity,1.0
SUN AU Equity,1.0
SVW AU Equity,-1.0
TAH AU Equity,1.0
TGR AU Equity,1.0
TLS AU Equity,1.0
TWE AU Equity,1.0
VEA AU Equity,-1.0
VOC AU Equity,-1.0
WES AU Equity,1.0
WGX AU Equity,1.0
WPR AU Equity,-1.0
WTC AU Equity,-1.0
Z1P AU Equity,-1.0
