,4485
11 HK Equity,-1.0
12 HK Equity,-1.0
1308 HK Equity,1.0
1533 HK Equity,1.0
1548 HK Equity,1.0
1638 HK Equity,-1.0
177 HK Equity,1.0
1800 HK Equity,-1.0
1833 HK Equity,-2.0
1858 HK Equity,1.0
187 HK Equity,-1.0
1918 HK Equity,-1.0
1963 HK Equity,1.0
268 HK Equity,2.0
291 HK Equity,-1.0
3383 HK Equity,1.0
358 HK Equity,-1.0
6098 HK Equity,1.0
6169 HK Equity,1.0
659 HK Equity,1.0
6808 HK Equity,-1.0
6826 HK Equity,1.0
772 HK Equity,1.0
836 HK Equity,1.0
87 HK Equity,1.0
883 HK Equity,-1.0
921 HK Equity,1.0
991 HK Equity,-1.0
