,4488
1033 HK Equity,-1.0
1060 HK Equity,1.0
1065 HK Equity,1.0
1066 HK Equity,1.0
1071 HK Equity,-1.0
1072 HK Equity,1.0
1088 HK Equity,-1.0
1099 HK Equity,-1.0
11 HK Equity,1.0
1128 HK Equity,1.0
1157 HK Equity,-1.0
1171 HK Equity,-1.0
1186 HK Equity,-1.0
1193 HK Equity,-1.0
1199 HK Equity,-1.0
12 HK Equity,1.0
1208 HK Equity,-1.0
1211 HK Equity,-1.0
123 HK Equity,-1.0
1233 HK Equity,-1.0
1268 HK Equity,-1.0
1308 HK Equity,-1.0
1313 HK Equity,1.0
1316 HK Equity,-1.0
1339 HK Equity,1.0
1347 HK Equity,-1.0
135 HK Equity,1.0
136 HK Equity,1.0
1398 HK Equity,-1.0
14 HK Equity,-1.0
144 HK Equity,-1.0
1458 HK Equity,1.0
148 HK Equity,-1.0
151 HK Equity,-1.0
1513 HK Equity,1.0
152 HK Equity,-1.0
1528 HK Equity,-1.0
1530 HK Equity,-1.0
1787 HK Equity,-1.0
1813 HK Equity,1.0
19 HK Equity,-1.0
2196 HK Equity,-1.0
2380 HK Equity,-1.0
2600 HK Equity,-1.0
3396 HK Equity,1.0
3633 HK Equity,1.0
371 HK Equity,-1.0
388 HK Equity,1.0
3968 HK Equity,2.0
410 HK Equity,1.0
598 HK Equity,1.0
6196 HK Equity,-1.0
669 HK Equity,-1.0
688 HK Equity,-1.0
788 HK Equity,-1.0
873 HK Equity,1.0
884 HK Equity,1.0
902 HK Equity,1.0
916 HK Equity,-1.0
960 HK Equity,1.0
998 HK Equity,1.0
