,3193
029960 KS Equity,-1.0
030530 KS Equity,1.0
033290 KS Equity,1.0
033640 KS Equity,-1.0
036810 KS Equity,1.0
053030 KS Equity,-1.0
058820 KS Equity,-1.0
066970 KS Equity,-1.0
067160 KS Equity,1.0
068240 KS Equity,-1.0
084370 KS Equity,-1.0
086450 KS Equity,1.0
090460 KS Equity,1.0
095610 KS Equity,1.0
095700 KS Equity,1.0
098460 KS Equity,-1.0
100090 KS Equity,-1.0
183490 KS Equity,-1.0
204270 KS Equity,-2.0
206650 KS Equity,-1.0
230360 KS Equity,1.0
263750 KS Equity,-1.0
290510 KS Equity,-1.0
293780 KS Equity,1.0
298380 KS Equity,-2.0
