,3213
1890 JT Equity,1.0
2206 JT Equity,1.0
2378 JT Equity,-1.0
2975 JT Equity,-1.0
3608 JT Equity,-1.0
3611 JT Equity,-1.0
3675 JT Equity,1.0
3939 JT Equity,-1.0
4041 JT Equity,1.0
4550 JT Equity,1.0
4719 JT Equity,2.0
4956 JT Equity,1.0
4996 JT Equity,1.0
6191 JT Equity,-1.0
6218 JT Equity,-1.0
6291 JT Equity,1.0
6455 JT Equity,-1.0
6758 JT Equity,-1.0
7283 JT Equity,1.0
7608 JT Equity,1.0
7888 JT Equity,1.0
8518 JT Equity,-1.0
8630 JT Equity,1.0
8697 JT Equity,1.0
8918 JT Equity,-1.0
9081 JT Equity,-1.0
9306 JT Equity,1.0
